,Unnamed: 0,Unnamed: 0.1,comment,updated_at,like_count,sentiment
23,23,23.0,خويا سؤال نحب نسقسيك <br>umdigi a5 pro<br>هل يستحق الشراء,2019-11-19T19:28:58Z,1.0,0.0
24,24,24.0,بارك الله فيكم,2019-11-19T20:25:25Z,3.0,2.0
25,25,25.0,شريت هايلة ماكسي اكتيفيت 120 الف لقيت 20 جيڨا. بصح قالو بلي عرض 3 اشهر برك وترجع 10  . ما فهمت والو . وزيد حبيت نسقسي اسكو الفيس بوك ڨراتوي زي موبيليس والا لا,2020-03-04T19:40:49Z,1.0,0.0
26,26,26.0,صح رجعت 10 جيغا ولا لالا؟؟,2020-12-25T01:03:32Z,0.0,0.0
27,27,27.0,هل يمكن تحويل هايلة بزاف اي هايلة ماكسي ...؟,2019-11-19T19:09:21Z,1.0,0.0
28,28,28.0,Oui. Dir *720*6#.  Men ba3d taakiid 1,2020-02-06T17:00:42Z,0.0,0.0
29,29,29.0,Oui ta9der,2019-11-24T15:03:03Z,0.0,0.0
30,30,30.0,حاج موسى موسى الحاج,2019-11-21T11:52:52Z,0.0,0.0
31,31,31.0,تقدر اتعاوني انا كانت عندي عروض امتياز حولتها لعروض هايلا حبيت نرجعها لامتياز واش اندير بليز رد اعليا،🙏🙏,2022-01-21T17:16:39Z,0.0,0.0
32,32,32.0,ana 3ndi hayla maxi ta 1200 tjini ya3touni 10Go mch 20Go kifech ??,2019-11-19T22:05:35Z,1.0,0.0
33,33,33.0,ارجو رد 120 الف 6 جيغا هذيك في هايلة بزاف صح تشد 30 يوم ولا لي يخدم بزاف تروحلو قبل شهر ؟,2019-12-15T21:16:15Z,1.0,0.0
34,34,34.0,@تكنو ديزاد ALGERIA TECH hadi 600 alef mois weche men puce svp,2020-05-09T11:06:03Z,0.0,0.0
35,35,35.0,اذا تخدم بيها بزاااف وتتفرج في سمانة ولا 10 ايام تخلصلك ننصحك تفليكسي ب 1500 روووعة راني نخدم بيها الشهر يخلص وهي مزال باقيلي فيها,2020-05-04T03:51:18Z,0.0,2.0
36,36,36.0,تكمل في 15 يوم اذا خدمت بها بزاف و بلاك قل تع 40 جيغا احسن,2020-01-25T10:22:53Z,0.0,2.0
37,37,37.0,باينة هذي لحساب متخدمي بيها,2019-12-18T16:19:12Z,0.0,0.0
38,38,38.0,نوو  600 الف خير,2019-12-15T21:23:25Z,0.0,2.0
39,39,39.0,أخويا هديك تع ربعين جيڨا بربعين ألف مزلت كينة,2019-11-21T17:00:54Z,3.0,0.0
40,40,40.0,بدلت من هايلة ماكسي لبزاف و ندمت كيفاه نرجعها,2020-05-29T17:04:10Z,0.0,0.0
41,41,41.0,نقدر نحول من هايلة بزاف الى ماكسي قبل متخلاص الكونيكسيو ؟,2020-12-07T21:10:40Z,0.0,0.0
42,42,42.0,تعطيك ااصحة خو,2020-06-12T14:25:59Z,0.0,0.0
43,43,43.0,عن تجربة Ooredoo top 100/100 في الانترنت بدون مجاملة خاصة haya Switch,2020-01-30T10:12:50Z,1.0,2.0
44,44,44.0,تحيا اريدوا 150 ب40Gتتمتع بصح جيزي 60G يوتوب ماتتفرجش تخرج غيل من المدينة ليراك ساكن فيها تحبس شريتها وندمت بزاف,2021-08-26T14:52:27Z,0.0,1.0
45,45,45.0,واه اوريدو انترنت مليحة بصح 20 جيغا داوهالي في 10 ايام,2021-06-16T17:13:12Z,0.0,1.0
46,46,46.0,نهار جاء باروش تاع منتج فيديوهات الدعارة عطاولو انترنت فائقة السرعة للمواطن ومعندوش مسكين ،يعرفو يسرقوا غير الشعب هذ الشركات الدنيئة وذات خدمات الدنيئة منعرف علاه الدولة ساكتة عليهم هك والله,2020-06-29T16:10:58Z,0.0,0.0
47,47,47.0,سوفريت مع connexion jezzy هايلة مالا مكرا راني شريت puce اخرى خلاص ،اي ليكم,2020-01-12T15:54:40Z,0.0,1.0
48,48,48.0,انا لبيس تاعي سبيسيال حبيت نبدلها لهايلا ماقدرتش,2020-07-04T06:58:58Z,0.0,0.0
49,49,49.0,عندي جيزي هدرا نحوس نبدلها جيزي ماكسي عاونوني,2021-01-20T21:24:48Z,0.0,0.0
50,50,50.0,انا راهي تخلاصلي قبل الشهر خطرات بسبع الى ثمانية أيام مع اني اتابع في اغلب الاحيان اليوتوب وتيك توك وانمي سلاير والعب فري فاير  تبقى حاير,2020-04-17T21:14:21Z,2.0,1.0
51,51,51.0,اني عندي زوج دجيزي يعيفو هايلة سرقة عيناني مع خرجت كانت مليحة دك 00000 اني راح نبدل يا اوريدو يا موبيليس,2020-02-05T14:00:23Z,0.0,1.0
52,52,52.0,ليس جيدة <br>نقول بصح لا تغضبو<br>ننكرها و نكرها لا خطش يكملو ليميقى🕊 بلخف<br>اوريدو يطول🐢🐢,2020-01-22T18:01:10Z,1.0,1.0
53,53,53.0,هل شريحة هبال أحسن من هايله ماكسي وبزاف,2020-03-16T13:23:56Z,0.0,0.0
54,54,54.0,Hayla maxi mliha 3la hayla bizaf fi ivites w les bonus,2019-11-20T10:46:14Z,1.0,2.0
55,55,55.0,شريت هايلة بزاف 40 جيڨا شهرين لوالا  كونيكسيو طيارة الشهر الثالث راهي زبل مكاش ڨاع علاه منيش عارف؟؟,2020-01-14T16:10:16Z,0.0,1.0
56,56,56.0,خاطر سرقين نقولك  بظليل هدرتي انا تقني سامي اعلام الي و جيسام ولاد الحرام بدلوها ولات gprs 3g زوبية,2020-01-16T21:03:18Z,0.0,1.0
57,57,57.0,نطبعو فدراهم يازح،  علاش مكانش تاع 1000دج وهذا لخرا يديرلهم، فلاشهار باطل و موبيليس راه. راقد,2020-08-26T05:46:51Z,0.0,1.0
58,58,58.0,Djezzy confort est ce que fiha limitation...,2019-11-19T19:33:51Z,0.0,0.0
59,59,59.0,شوف فيديو كامل,2019-11-19T19:57:46Z,0.0,0.0
60,60,60.0,انا اول واحد في الجزائر نستهلك انترنات <br>60 جيڨا في 15 يوم,2020-04-05T23:41:02Z,4.0,0.0
61,61,61.0,🤣🤢🤣🤣🤣🤣🤣🤣🤣,2020-04-27T13:43:36Z,0.0,0.0
62,62,62.0,كرهتينا في كلمة ليميتاسيون تقول درتي اختراع,2020-05-28T07:33:28Z,0.0,1.0
63,63,63.0,20جيقا بشححال بالشهر فماكسي,2021-01-25T07:56:56Z,0.0,0.0
64,64,64.0,1000,2021-01-27T11:38:24Z,1.0,0.0
65,65,65.0,شكون مليحة هايلا ولا ماكسي,2019-11-24T15:01:55Z,0.0,0.0
66,66,66.0,هايلة بزاف نخدم بيها رووعه,2020-05-04T03:51:56Z,0.0,2.0
67,67,67.0,انا نسلكها نسلكها المشكل هو كونكسيو 👎,2019-11-19T20:35:16Z,0.0,1.0
68,68,68.0,اودي جزي ڤاع ماشي پوست,2020-10-13T06:00:31Z,0.0,1.0
69,69,69.0,تحسب طاهر ميسوم راك يتكلم <br>منا ...و مالهيه ...و كدا ...و لاخر........<br> وضح جيداا اخي باش نفهمو مشكور على الفديو,2019-12-13T17:41:29Z,3.0,0.0
70,70,70.0,😀😀😀😀😀😀😀😀😀😀😀😀😇😇😇😇😇,2020-09-06T10:33:23Z,0.0,0.0
71,71,71.0,ياخويا تحيا اوريدوا,2020-06-02T08:18:13Z,1.0,2.0
72,72,72.0,اوريدو تاع الشهر بشحال ؟ و شحال يمدولك ليجيغا,2020-06-24T08:41:40Z,0.0,0.0
73,73,73.0,وجيزي هبال واش رايك,2019-11-20T06:26:41Z,1.0,0.0
74,74,74.0,دجيزي شركة محتالة,2021-01-21T05:56:11Z,0.0,1.0
75,75,75.0,السلام عليكم حاب نسقسيك اذا ممكن,2021-02-26T09:39:15Z,0.0,0.0
76,76,76.0,كيفه نحول هايلة بزاف لهايلة ماكسي,2019-12-04T16:00:20Z,0.0,0.0
77,77,77.0,*720#<br>ثم 11 حتى تجد تحويل نحو hayla maxi,2019-12-12T17:51:44Z,0.0,0.0
78,78,78.0,"Si ce n&#39;est pour la connexion de votre emplacement ne souscrivez JAMAIS à Djezzy  , ils m&#39;ont envoyé un message me disant qu&#39;on me &quot; DONNAIT &quot; 15 go car j&#39;avais flexy pour 2000 da puis on m&#39; a enlevé 1000 da pour ces 15 go . Le lendemain j&#39;ai flexy 3000 DA pour obtenir la connexion 150 go à 4000 DA   , sauf que ces malins m&#39;ont directement encaissé les 3000 da POUR 60 GO uniquement sans MON autorisation NI celle du gars du flexy .",2021-12-28T15:13:51Z,0.0,0.0
79,79,79.0,راك تقول تستهلك ف الشهر 33انا نخدم بيها تتفرج برك ماجابتش ليا شهر سبحان الله وبحمده ماني فاهم والو,2020-03-22T08:15:54Z,0.0,1.0
80,80,80.0,@jeon jojo واش تتفرج مثلا,2021-06-06T10:33:41Z,0.0,0.0
81,81,81.0,والله سراق لبارح برك فليكسيت 1500 وراحت نصها معلباليش وش هذا,2020-05-06T22:32:04Z,0.0,1.0
82,82,82.0,انا نفليكسي 1500 ونظل نتفرج ونخدم بيه نهار كامل وهو يمشي ويلحق الشهر تخلص وهي مزال فيها النت,2020-05-04T03:48:13Z,0.0,2.0
83,83,83.0,اي بيا كي وفيت,2019-11-19T19:27:08Z,0.0,0.0
84,84,84.0,سراقين,2021-01-29T22:03:42Z,0.0,1.0
85,85,85.0,سراقين,2021-01-29T22:03:34Z,0.0,1.0
86,86,86.0,عندي هايلة بزاااف ما فيهاش هذي العروض فيها غير 1200دج و زيد الانترنت ديالها ولات عيانة بزاااااف,2022-01-14T07:17:34Z,1.0,1.0
87,87,87.0,بارك الله فيك بالتوفيق,2022-01-05T17:38:21Z,0.0,2.0
88,88,88.0,ممكن تفيدنا بخصوص جازي نيو هايلة ماكسي، يعني ماهي العروض المتوفرة فيها وتكلفة تحويل شريحة جازي الى هايلة ماكسي,2022-03-12T17:43:04Z,0.0,0.0
89,89,89.0,أخي عروض امتياز هي عروض مؤقتة كل عرض تستفيد منه مرة فقط، مثلا عرض 800 دج تستفيد منه شهر لمرة واحدة، ولما تحب ترجع تستفيد منه ماتلقهاش وهكذا... يعني جازي فاشلة في العروض,2022-03-12T17:40:41Z,0.0,1.0
90,90,90.0,مكاش عرض مليح في الجزائر في كامل المتعاملين  صديقي كامل خردة لامن نحية الاسعار ولا سرعة ولا حجم الانترنت المهدي  مزلنا بزاف روطار,2022-02-02T23:29:25Z,0.0,1.0
91,91,91.0,ولكن  اظن جيزي انترنات ظعيف مقارنة بشبكات الاخرة,2022-01-08T22:23:26Z,1.0,1.0
92,92,92.0,MERCI,2022-01-07T11:56:57Z,0.0,2.0
93,93,93.0,اخي كريم جيزي انترنيت ضعيفة جدا,2022-01-10T18:03:38Z,2.0,1.0
94,94,94.0,انا كانو عندي هاد العروض و نحاوهملي كفاه نرجعهم ؟؟,2022-02-06T02:02:24Z,0.0,0.0
95,95,95.0,انا كانت عندي العروض هذي وراحتلي منلقهاش دوك كيفاش نرجعها,2022-01-20T09:29:31Z,0.0,0.0
96,96,96.0,الله حاب نسال على عرض ويز كيفاه يره,2022-01-10T17:22:31Z,0.0,0.0
97,97,97.0,السرعة يجيب ربي,2022-01-10T09:57:48Z,1.0,1.0
98,98,98.0,Rak ghlet khouya vive ooreddo switch hia meilleur,2022-01-30T23:47:32Z,0.0,2.0
99,99,99.0,عروض دائمة ؟؟؟,2022-01-10T11:36:19Z,0.0,0.0
100,100,100.0,أريدو أنترنات طيارة خو,2022-01-11T23:56:10Z,0.0,2.0
101,101,101.0,فيها ليمطاسيو بزاف,2022-01-12T22:41:38Z,0.0,1.0
102,102,102.0,هيل مليحة طووول بصح انترنت حجم ميكفيش طووول لانها تستهلك بسرعه مقارنة بموبيليس 20جيقا ومتكفيكش شهر عكس موبيليس 13 جيقا بصح تكفيك شهر كامل وذلك لان جيزي غير مقيدة استهلاك انترنت,2022-01-19T16:59:50Z,1.0,2.0
103,103,103.0,"Raak etchekar fi djezzy, bessah zéro...connexion waalou sauf à 4h du matin itelkouh chwiya donc laazem que tu sois éveillé héta tetargag...hhh wa choukrane pour l&#39;info",2022-01-11T00:01:12Z,2.0,1.0
104,104,104.0,Connexion nulle,2022-01-13T23:31:32Z,0.0,1.0
105,105,105.0,Attention puce ooredoo trompeur et  voleur,2022-02-28T19:16:47Z,0.0,1.0
106,106,106.0,Attention puce ooredoo trompeur et  voleur,2022-02-28T19:16:41Z,0.0,1.0
107,107,107.0,اسوء شريحة هيا جيزي,2022-03-08T16:09:14Z,0.0,1.0
108,108,108.0,خونا متقولش عروض انترنت قول عرض سحب المال من شعب بسك الأنترنت والو,2022-01-18T13:22:30Z,1.0,1.0
109,109,109.0,في رايي ( سما نت خاصة 1500دج و 2000 دج) هذا افضل عرض مقارنة بجميع المتعاملين,2022-03-07T21:32:30Z,12.0,2.0
110,110,110.0,هو عرض شباب لاخطرش فيه تحسينات على كلش مكاش تراجع على بيكس بصح راهي نقسة سرعة بزاف,2022-03-08T17:36:37Z,2.0,1.0
111,111,111.0,موبيليس يعصرو فينا هاد العرض غالي كان يحطوه من زمان  فيما يخص لوقة الحالي 100جيڨا 1000دج وطلع,2022-03-07T20:52:25Z,5.0,1.0
112,112,112.0,ماتهمنيش عروض موبليس قد مايهمني  يوسعو في شبكة الجيل الرابع خاصة في الصحراء و يزيدو سرعة تدفق الانترنت وفقط شكرا لك اخي,2022-03-07T21:13:43Z,59.0,1.0
113,113,113.0,لما تحققون التغطية داخل المدن ممكن,2022-03-09T00:44:53Z,1.0,1.0
114,114,114.0,السلام عليكم و رحمة الله. المشكل في سرعة الانثرنت . و هل يمكن أن تشتري خط جديد مع الاحتفاظ بالرقم القديم انتاع لاوين,2022-03-10T07:31:47Z,1.0,1.0
115,115,115.0,السلام عليكم ، الكابل الجديد لموبيليس تم اقتناءه بسبب العاب البحر الابيض المتوسط,2022-03-08T11:34:51Z,2.0,0.0
116,116,116.0,راح يقعد. ديما ولا فترة محدودة,2022-03-07T19:07:12Z,8.0,0.0
117,117,117.0,عروض مليحة و لكن اذا قدرت تجربلنا سرعة التدفق خاصة تاع الانترنت او ميكس,2022-03-08T20:02:55Z,5.0,0.0
118,118,118.0,مليح عرض 1500دج تاع net 60 gb<br>مع عرض الجيش 650 دج 15gb وحدة للهدرة و وحدة للأنترنت,2022-03-08T08:13:27Z,3.0,2.0
119,119,119.0,على الإنترنت الزينة,2022-03-09T13:50:06Z,2.0,2.0
120,120,120.0,عروض دائمة ولا مؤقتة ...؟؟,2022-03-07T19:49:28Z,6.0,0.0
121,121,121.0,المشكل يبقى في سرعة انترنيت. هل سيتغير,2022-03-07T20:49:23Z,7.0,1.0
122,122,122.0,عرض هااااايل روووعة ديما موبيليس,2022-03-08T08:25:49Z,0.0,2.0
123,123,123.0,الشكرا على كل المجهودات المبذولة..,2022-03-13T06:48:53Z,0.0,2.0
124,124,124.0,شحال مدة باش ينحيو هاد العرض,2022-03-07T21:46:39Z,1.0,0.0
125,125,125.0,يبقى Top 4G افضل عرض 👌 في موبيليس,2022-03-07T20:30:58Z,42.0,2.0
126,126,126.0,تخرج الطريق السريع ماكانش لانترنت 🙄<br>الجيل الرابع ماكانش منو، و الثالث كيما ذكرت سالفا.,2022-03-07T20:42:46Z,1.0,1.0
127,127,127.0,أعتقد عرض فيه نوع من الحيلة كنفس العروض السابقة يعني مثلا عرض الأنترنت 1000 دج فيها 30 جيڨا و في نفس الوقت مفيهش هدرة تسما يا إما نفليكسي باش نهدر  و هنا تزيد التكلفة أو ندير العرض mix نلقى روحي في نفس العروض مثل pixx,2022-03-09T00:58:14Z,9.0,1.0
128,128,128.0,موبيليس تعطيك 200g وتدفق الأنترنت ميت راح تستهلك ياربي 5g,2022-03-08T11:18:08Z,2.0,1.0
129,129,129.0,مشكور على كل المجهود المبذول لكن لا تطل كثيرا اخي في الفيديو,2022-03-13T21:22:17Z,0.0,0.0
130,130,130.0,ماحكيتناش على الديبي خاصتا في المساء . شكرا اخي,2022-03-07T19:41:05Z,1.0,0.0
131,131,131.0,واش الفايدة وحنا مزلنا بي 3 جي <br>صح بلديه حسناوة ولايه برج بوعريريج مزالنا بي 3جي<br>رغم انو جميع بلديات البرج طلقولهم 4 جي,2022-03-08T11:58:56Z,0.0,1.0
132,132,132.0,ليس المهم حجم الانترنت جودة النت هي الاصل بلاش منشرجيش الفيكس افضل بكثير,2022-03-09T00:43:14Z,1.0,1.0
133,133,133.0,المشكل الوحيد هو سرعة الإنترنت,2022-03-11T11:11:05Z,1.0,1.0
134,134,134.0,اليوم دخل العرض هذا للخدمة وليس غدا,2022-03-07T20:44:38Z,0.0,0.0
135,135,135.0,بارك الله فيك وجزاك خير ا,2022-03-07T19:20:53Z,0.0,0.0
136,136,136.0,بارك الله فيك,2022-03-07T19:49:39Z,0.0,0.0
137,137,137.0,الى متى يطورون في شبكات مازلنا فقط بي انطنات تاع بكري الان المدن الصغيرة اصبحت كبيرة نمشيو شبكات قديمة لهذا في قوة الريزو ضعيفة في بعض الاحياء,2022-03-08T00:13:38Z,0.0,1.0
138,138,138.0,في جيجل مزال 4g ضعيف وتحت المستوى والاكثر مرارة في وسط جيجل بمحادات موبيليس بحد داتها 🤦🤦😩😩,2022-03-08T10:29:12Z,0.0,1.0
139,139,139.0,تحيا توب 4 جي 👈 TOP4G<br>ولا كسر الشريحة,2022-03-09T23:37:30Z,0.0,2.0
140,140,140.0,عروض سيئة.<br>ربما الأفضل فيها هو عرض:<br>1000=30Gb+200 DA<br>عرض معقول جدا.,2022-03-08T01:30:55Z,2.0,1.0
141,141,141.0,كيفاش نبدل شريحة لاوين  لعرض 200نت من فضلك ،مشكور على المعلومات ،بالتوفيق .,2022-03-15T08:35:07Z,0.0,0.0
142,142,142.0,بارك الله فيك زعيم,2022-03-10T14:06:13Z,0.0,0.0
143,143,143.0,ربي يوفقك اخي,2022-03-07T18:58:33Z,0.0,0.0
144,144,144.0,عندي أبيس 30 يوم انترانات ب100الف فيها2جغ+200الف نحو كل الشبكات+ملابس مجانا +الأحتفاض ب 100الف بعد الأنتهاء الشهر مع أمكانية تحويلها الى انترنت لي  مدة شهر آخر كامل ههههه هذا احسن عرض عند موبليس,2022-03-15T22:33:48Z,0.0,2.0
145,145,145.0,خصني كود تحويل شريحة موبليس من 3G إلى 4G,2022-03-11T17:49:27Z,0.0,0.0
146,146,146.0,يبقى توب 4G<br>أفضل عرض بكثير 50 <br>الف شهر كامل انترنات,2022-03-07T22:36:53Z,1.0,2.0
147,147,147.0,عندي top 4g ونزيد نشري سما نات 1500ونولي فالفايدة 😁😁😁😁,2022-03-07T21:38:13Z,0.0,2.0
148,148,148.0,موبيليس مليحة برك في الصحراء وين كاين جماعة سوناتراك و الدراهم لأن في العاصمة الشبكة معدومة ( الريزو ),2022-03-07T20:48:47Z,6.0,1.0
149,149,149.0,"اما sama لا توجد و تنخفض بالسرعة انا فكليست الاحد اليوم الثلاثاء راه <a href=""https://www.youtube.com/watch?v=7rhA7poxyY0&amp;t=6m50s"">6:50</a> من 15 باضافة كنت نتفرج اي fb",2022-03-15T19:53:50Z,0.0,1.0
150,150,150.0,الله يخليك محتاجة مساعدة ,2022-03-15T22:18:57Z,0.0,0.0
151,151,151.0,الان هل هذا العرض دائم ام مؤقت,2022-03-08T13:47:21Z,0.0,0.0
152,152,152.0,أروع عرض,2022-03-09T06:36:19Z,0.0,2.0
153,153,153.0,اخي الله يخليك كيفاش نلغي activation Mobilis قديمة باسك كملتلي الانترنت قبل وقتها,2022-03-11T22:16:30Z,0.0,0.0
154,154,154.0,سما لعرض تع pixx يبقى برك يزيدو 2 جيغا ؟ انا كان مسعدني فيسبوك باطل نشوف فيه كلش,2022-03-15T07:41:58Z,0.0,0.0
155,155,155.0,لا يصلح إلا في المدن الكبرى .. الدواور ربي يجيب الخير,2022-03-16T17:21:55Z,0.0,1.0
156,156,156.0,ناس قريب تطلق G6 وحنا مزال فالقرون الوسطى اني نمشي بالH دوكا 😂😂😂 الجزائر الجديدة 😅,2022-03-11T09:21:30Z,1.0,1.0
157,157,157.0,و الشراء في المواقع ما زال ما خموش فيها,2022-03-15T10:21:09Z,0.0,1.0
158,158,158.0,اليوم تستاهل 10000000000000 جام,2022-03-07T19:01:55Z,2.0,0.0
159,159,159.0,"ديرلنا سرعة الانترنت تعها على ساعة <a href=""https://www.youtube.com/watch?v=7rhA7poxyY0&amp;t=21m00s"">21:00</a>",2022-03-10T14:36:49Z,0.0,0.0
160,160,160.0,مزال لحد الأن لم يظهر العرض في *600#,2022-03-12T20:09:30Z,0.0,0.0
161,161,161.0,تعيش كي ندير عرض سما نات 30 جيڨا  كي نكون نتفرج احيانا يعني ماش دائما  اليوتيوب والتيك توك أكيد تكمل بالخف . ولا عادي تشد شهر بالظبط,2022-03-14T16:42:06Z,0.0,0.0
162,162,162.0,موبيليس تاع الزواولة يعطيهم الصحة. اما التدفق الي السرعة يشري سيارة ويروح ببها لكاش منطقة ويكنكتي .,2022-03-09T07:27:09Z,0.0,2.0
163,163,163.0,خويا درت سما وباغي نرجعها pixx ممكن ولا راحت,2022-03-15T16:31:09Z,1.0,0.0
164,164,164.0,فهمهم بلي فايسبوك ياكل من جيغات ك تكتيفي العرض <br>و ك يخلاصو الجيغات يرجع مجاني,2022-03-08T05:54:35Z,8.0,0.0
165,165,165.0,لان pix كنا مستفدين من fb مجانا,2022-03-15T19:52:42Z,0.0,0.0
166,166,166.0,خويا نسقسيك عندي طوب 4g فيها 200 ألف كون نحولها pix يروحو صوارد ولا لالا,2022-03-09T00:53:01Z,1.0,0.0
167,167,167.0,تيكنو موادم ايدوم 4g كاش عروض جدد,2022-03-07T19:51:33Z,3.0,0.0
168,168,168.0,طلقوه 😍😍😍,2022-03-07T22:36:05Z,0.0,0.0
169,169,169.0,غير بدلت لسما صرقولي الدراهم الي كانو عندي في البيس ربي يهدي ويسمون تطور,2022-03-09T11:06:57Z,0.0,1.0
170,170,170.0,السلام عليكم<br> اخي قلت كلش غير سوما نتاع بيس ما قلتناش عليها,2022-03-07T21:28:34Z,0.0,0.0
171,171,171.0,مشكور علىالجديد,2022-03-07T19:08:55Z,0.0,2.0
172,172,172.0,هذو العروض فيهم لي ميطاسيو ولا نو خويا ؟؟,2022-03-08T13:38:36Z,0.0,0.0
173,173,173.0,انا اضن يعطوك 90جيڨا بصح يزيدو في سرعة ومن بعد نبدو نقولو موبيليس راهي تخون وهيا نتا تشوفها 90 بصح يزيد في سرعة استهلاك البيانات بلا منعبو انا اضن اغراء لان رمضان علي الابواب,2022-03-07T20:11:37Z,5.0,1.0
174,174,174.0,30 دج = جوبلي قهوة - 10 دج = ساعه تفراج في اليوتوب بجوده 360 + فيسبوك باطل 😂<br>في بلادنا راه كلشي يزيد يغلى غير الانترنت راهي ترخص <br>كاش نهار نرجعو ناكلو في الكونكسيون,2022-03-08T22:06:50Z,0.0,1.0
175,175,175.0,وتبقى ooredoo الافضل في عرض سوتش 150 =<br>50Gb,2022-03-08T00:12:11Z,3.0,2.0
176,176,176.0,وهاذي بيس تتباع ولا تلقا العروض فالبيس تاعك لتستعملها وين تلقاها العروض نرجو توضيح شامل,2022-03-08T21:08:10Z,0.0,0.0
177,177,177.0,عجبني عرض انترنت ولكن 40 الف هدرة قليلة خخخخ,2022-03-10T16:18:00Z,0.0,1.0
178,178,178.0,Ooredoo switch khir nflixi 1500. Ya3tiwli 1500 w ooredoo batl w 50GB,2022-03-09T16:44:02Z,0.0,2.0
179,179,179.0,جاي رمضان ظرك يبداو العروض المهم حاجة تلتيك على ذكر الله وخلاص,2022-03-07T22:46:14Z,4.0,0.0
180,180,180.0,على ما اظن عرض بيكس خير منها,2022-03-10T11:37:02Z,0.0,2.0
181,181,181.0,Top 4g خير منها,2022-03-13T15:57:19Z,0.0,2.0
