"ID","comment","updated_at","like_count","sentiment"
"17","ياموبيليس نتوما الراعي الرسمي تكلمونا مع رئيس الفدرالية يقدم الشكوى","  2022-03-30T16:13:00Z","0","0"
"18","كون ماكتيفي تع شهر هدرة وانثرنات ومبعد حولتها لسما راهلي أنثرنات ومبقاتلي غير الهدرة والفايسبوك"," 2022-03-30T00:09:00Z ","0","1"
"19","عرض سما 1000 دج خلاصت في عشرين يوم انترنيت فيس بوك غير مجاني من فضلكم رجعولي عرض بيكس كنت نكمل بيها شهر مرتاح","  2022-03-31T10:27:00Z","1","1"
"20","عروض غير هي بصح كونكسيو ثقيلة ريزو يروح و يولي 😐","  2022-03-30T23:59:00Z","0","1"
"21","Yehdikoum rebi cox !?"," 2022-03-31T20:28:00Z","0","1"
"22","و الأنترنت صفر فيديو فيه 10 ثواني ساعة باش نشوفو ، حسنوا الكونكسيو و بركا ما تخرطو علينا …","  2022-03-30T21:30:00Z","0","1"
"23","غير لخرطي اكتيفيت 50 الف ساما نات يمشيلي غير لفيسبوك","  2022-03-30T16:36:00Z ","0","1"
"24","يا موبيليس علاش مادرتوش في سما عرض خمسالاف ماكتيفيا، انا رجعولي عرض مبتسم ماعجبتنيش سما مافيهاش تاه خمسالاف","  2022-03-30T20:55:00Z","0","1"
"25","خاوتي كونيكسيو في موبيليس مكانش و لا كيفاه راني ماكتيفي تاع 2000 نات 90 جيقا و كونيكسيو مكانش ملقري تلفون جديد و نقطة اتصال صحيحة و مشكل في الكاميرون كونيكتيت عادي
و هنا والو","  2022-03-31T08:20:00Z","0","1"
"26","Aya GUe
Ta3 100 alaf kachma jdid fiha fi ramdhan","  2022-04-01T22:09:00Z","0","0"
"27","A première vue ça l air la Meilleure offre sur le marché algerien
Reste a vérifier la qualité de ce service
Bonne continuation","  2022-03-27T17:40:00Z","0","2"
"28","هكذا تعجبني موبيليس 💪😎❤","  2022-03-27T19:40:00Z","1","2"
"29","انا عندي
Win contrôle 1300
تسمى واش ندير بيها درك
نزيد 200دج و نكتيفي 30جيڤا
مركومش تشوفو بلي كاين خلل في الحساب","  2022-03-30-27T15:07:00Z","0","0"
"30","La cnx 15gega rahat fi 3jours c anormal","  2022-03-27T14:50:00Z","3","1"
"31","انا تخدعت في هذا العرض اليوم
شريت puce جديدة مع العرض تاع سما ومالقيت لا انترنت لا والو","  2022-03-27T19:16:00Z","0","1"
"32","كوناكسيو تحسب رانا مزال بل 2G وتخلاص في سيمانا ههه","  2022-03-28T00:25:00Z","0","1"
"33","حبيت نعرف حاجة و هاديك تع 100 الف و 15 جيڨا يكي بخلاصو يبقى يمشي الفايسبوك","  2022-03-27T14:15:00Z","0","0"
"34","الكونيكسيو تاعها طلع فيسبوك لايت تديلك 20 جيڨا","  2022-03-27T14:42:00Z","0","1"
"35","110 kbps يرحم باباك وش تدير بيها","  2022-03-27T13:58:00Z","0","1"
"36","المشكل فالتغطية رانا مزولنا بعاد خخخ","  2022-03-28T11:26:00Z","0","1"
"37","مجانية الفيسبوك بعد استهلاك العرض .. هي سبب رئيسي وراء نفور المشتركين و سخطهم من عرض سما خطأ كبير وجب تداركه .","  2022-03-29T07:23:00Z","0","1"
"38","اجماعة ننصحك والله والله ما راهي باهية في نهارين تكمل وداروها بذمة كيما تعمل شريحة سما متقدرش ترجعها","  2022-03-29T09:21:00Z","0","1"
"39","يا ناس ذا عرض خدعة تع سما ..لي عندو توب ولا بيكس تروحلكم ومتقدروش ترجعو اوياكم منهم عروضهم تزداد سوءا","  2022-03-28T23:25:00Z","0","1"
"40","اليوم ذهبت عند موبيليس باش نشري بيس قعدت 3سوايع وانا نقارع ومبعد قالولي منبيعوش برخسة سياقة املا خليتهالكم","  2022-03-27T17:20:00Z","0","1"
"41","C'est beaucoup trop cher et la connexion est nulle","  2022-03-31T19:00:00Z","0","1"
"42","انا عجبني عرض 1000 نت","  2022-03-27T18:22:00Z","0","2"
"43","المشكل لاوين لازم تزيدولن ف الانترنت رانا نسلكو 130الف متمدولنا غير 15G قليلة لازم تزدولنا شوي
","  2022-03-26T10:24:00Z","8","2"
"44","عرض مليح","  2022-03-26T11:41:00Z","0","0"
"45","اذا قمت بتحويل من top4G الى sama هل يمكنني الرجوع الى العرض الاول top4G","  2022-03-26T18:20:00Z","0","0"
"46","انا بدلت العرض تاعي من pix الى sama وفليكسيت 1000 .. ملحقتنيش قلت بالاك بعتهالي ماكتيفيا pix ؟ واش ندير","  2022-03-26T15:48:00Z","0","0"
"47","لكن التغطية ضعيفة في دائرة اشمول ولاية باتنة لقد راسلناكم عشرات المرات المشكل الهوائي الرئيسي المسمى ادارت بعيد عن المدينة والهواىي المتواجد في المدينة ليس سوى عمود للكهرباء وليس عاليا كما هو الحال ولكم واسع النظر","  2022-03-26T13:48:00Z","1","1"
"48","أعيد و أكرر الشبكة ضعييفة الهاتف والشريحة من الجيل الرابع ولكن الخدمة النت بمستوى الجيل الثاني وكل المعلومات الشخصية متوفرة في الخاص ولا داعي لإعادة طرحها وشكرا","  2022-03-15T19:24:00Z","3","1"
"49","واش نكونيكتي من البارح والريزو ماكاش
شوية ريح راح كلش في سيدي موسى","  2022-03-15T15:50:00Z","4","1"
"50","نظن لقيت الحل تع التدفق الضعيف، دخلت فالاعدادات تع الهاتف و ديرو واش نقلكم:
Paramètres
Connexion
Réseau mobile
Noms des points d accès et vous cocher sur mobilis internet après vous enregistrer
Redémarrer le tel ","  2022-03-21T19:50:00Z","0","0"
"51","نصيحة لي مزال مااكتفيهاش غير ميديرهاش أكبر حشوة Pixx أفضل منها بألف مرة","  2022-03-19T22:50:00Z","0","1"
"52","بأذن الله نبدل ل اووريدو لاني نستعمل بزاف الإنترنت
موبيليس ناقصة بزاف فالتغطية وكارثة عظمى
عرض سما:عالي التدفق =يعني 90 go هذيك تخلاصلك في سمانة قبل ماتستعملها","  2022-04-02T14:16:00Z","13","1"
"53","ومبعد الكونيكسيون سلحفاة وفي آخر الشهر تلقى مزالك 88 جيغا","  2022-04-2T14:01:00Z","19","1"
"54","كان ندير هاذ العرض تنعكس لحالة نولي نهدر بزاف ونكونكتي شوية","  2022-04-2T14:04:00Z","46","2"
"55","عرض pix دايرين الفيس بوك باطل من بداية دفعك للشهر اي كي تكون فالفيس وتتفرج ولو فلم ساعتين متاكلش كونكسيو","  2022-04-2T14:34:00Z","2","1"
"56","ومبعد الكونيكسيون سلحفاة وفي آخر الشهر تلقى مزالك 88 جيغا","  2022-04-2T14:01:00Z","19","2"
"57","افضل عرضpixx  شفتو في حياتي","  2021-11-4T12:35:00Z","1","2"
"58","انا تبانلي موبيليس خير من لخدمات لوخرين كما اوريدو كل عام يزيدو ينقصولك فالجيغات تديها جديدة تعمر 1500الف يعطوك 50جيغا لعام جاي تولي تنقص ذيك 50","  2021-06-05T18:46:00Z","1","1"
"59","de pire en pire, on arrive même pas à lire les commentaires alors youtube faut même pas en rêver","  2022-03-27T21:12:00Z","1","1"
"60","علاه سرقتولي سبعلاف البارح","  2022-04-02T23:43:00Z","3","1"
"61","الكونيكسيو تاعكم خرية","  2022-04-02T22:32:00Z","0","2"
"62","أنا نخدم بيه مليح","  2022-04-02T14:13:00Z","0","2"
"63","Ooredoo Switch مليحة أني نخدم بيها","  2022-04-02T14:10:00Z","0","2"
"64","افليكسي،1500 فالأوريدو 40 جيڨا تشدلك شهر","  2022-04-02T14:22:00Z","17","0"
"65","انا درتها
التدفق مليح
و حاليا راني مفعلة تاع sama net 1500 da
فيها 60Go","  2022-04-02T14:08:00Z","0","2"
"66","بالنسبة ليا اوريدوو ذا باست
مأكيتيفي عرض نتااع YOOZ 30gb ب 150دقيقة كلش ب150 الفايس و اليوتيوب باطل","  2022-04-02T14:20:00Z","0","2"
"67","اوريدو يوز
150الف. 30جيقا وفيسبوك مجاني
وسرعة تدفق عالية وفيسبوك مجاني منذ البداية وليس بعد ماتكمل ليجيقا
وزيد يكمل شهر وليجيقا يبقوا حتى ولو تخدم 24سا","2022-04-02T14:17:00Z","5","2"
"68","افضل عرض حاليا في الجزائر اوريدو سويتش 150الف ..يعطوك 50جيغا +150الف هدرة +سرعة تدفق عالي","2022-04-02T17:14:00Z","1","2"
"69","Vive oredoo la Switch","2022-04-02T14:56:00Z","0","2"
"70","أوريدو  50جيغا تشدلك وكونيكسيون مليحة","2022-04-02T14:41:00Z","0","2"
"71","احسن عرض في موبيليس هو pix"," 2022-04-02T14:34:00Z","0","2"
"72","بصح واشمن فايدة إذا التدفق ضعيف
لوكان يعطيك حتى 1000جيقا والأنترنت ضعيفة مادرنا والو
"," 2022-04-02T14:10:00Z","4","1"
"73","المشكل مكانش الريزو راني فلكسيت بصح متمشيليش دورتها لجيزي قراتوي"," 2022-04-02T14:09:00Z","0","1"
"74","المشكل تاعهم فالريزو مكانش و التدفق فرشة .. ماشي فالپاك"," 2022-04-02T14:05:00Z","1","1"
"75","مليح العرض هاذا"," 2022-04-02T14:04:00Z","0","2"
"76","سرقة كبيرة. ماننصحكمش ديروها"," 2022-04-02T14:04:00Z","1","1"
"77","عندي 4 جيجا وتكفيني شهر كامل .. لماذا ؟ لاني لا اكونيكتي بزاف ؟ لا .. لان التدفق بطئ .. لا يكفي لاستهلاك 4 جيجا مع الاتصال المستمر .. هل احتاج 90 جيجا ؟ نعم .. هل يمكنني الاستفادة منها ؟ لا .. .","  2022-04-02T14:48:00Z","1","1"
"78","عرض sama يستهلك الانترنت بطريقة عجيبة لي شراها باصا"," 2022-04-02T14:52:00Z","0","1"
"79","المشكل دائما في شبكة الأنترنت الضعيفة"," 2022-04-02T14:33:00Z","0","1"
"80","J'ai opté pour Djezzy depuis qlq mois .. je préfère djezzy","  2022-04-02T14:16:00Z","1","1"
"81","علاه كي نشريو البيس تقولوا 20 جيغا وكي تولي عندها شهرين تقلبوها 8 جيقا حراام عليكم والله","  2022-04-02T16:41:00Z","0","1"
"82","C'est beaucoup trop cher et la connexion est nulle","  2022-03-31T19:01:00Z","1","1"
"83","عرض جيد جدا ","   2022-04-02T15:16:00Z","0","2"
"84","جربته العرض لكن سريع الانتهاء جربوا ديرولنا تطبيق كيما تاع يووز يساعد المستهلك أكثر خاصة الي كيفي يحبوا خدمات موبيليس","2022-04-03T11:38:00Z","8","1"
"85","عرض مليح لوكان ترجعوه للشهر ماشي 15 يوم"," 2022-04-03T14:31:00Z","0","2"
"86","اقسم بالله درتها ثقيلة مبغاتش تمشي ليا"," 2022-04-03T12:23:00Z","1","1"
"87","بالعكس pix احسن من سما نفس العروض نفس الفليكسي فقط تغيير في الاسم الاولى prix والثاني sama الحجم لم يتغير زيد أن الفيسبوك يحتسب مع 15 جيفا الممنوحة يعني ما درتو والو تهفو في الناس وفقط"," 2022-04-03T12:07:00Z","0","1"
"88","Mliha lokan fiha YouTube batel","2022-03-08T16:01:00Z","1","1"
"89","ديروها تبعث مكتيفيا رانا كرهنا"," 2022-04-03T11:37:00Z","2","1"
"90","عمركم ولا تجيبوا حاجة زينة ،دائما تكعلوها في حاجة و زيد الشبكة راها زيرو ،ريڨلو رواحكم راه رمضان لواحد يعود يتقلق ولا"," 2022-04-03T12:32:00Z","1","1"
"91","واش الفايدة كي تعمر شهر ب30 جيجا والريزو ماكانش او شبه مكانش كي شغل راك توهب دراهمك لجماعة صدكة صدكة في سبيل الله "," 2022-04-03T12:26:00Z","1","1"
"92","مايمشي لا مسنجر لايوتيوب لاڨوڨل 🙂🙂"," 2022-04-3T14:22:00Z","1","1"
"93","على الكونيكسيو زينة لي فيها و زيد ليجيغا يكملو بلخف انا في 3 ايام راحت 12 جيغا تبقى حاير الله غالب الوقت الحالي بسيف عليا نمشي بموبيليس بصحتكم و صاي"," 2022-04-03T22:23:00Z","0","1"
"94","5جيكا استهلكت في وقت قصير 24 ساعة رغم اني لم استهلكها . يوجد خلل عندكم"," 2022-04-03T20:48:00Z","0","1"
"95","كونكسيو تاعها ليه ليه تكمل غير مديرش 20 ج في سمانة"," 2022-04-03T12:04:00Z","2","1"
"96","جامي صراتلي
15ج في 10 أيام فضت... كاين حاجة ماش نورمال","  2022-04-03T12:55:00Z","1","1"
"97","موبيليس قدمت عروض جيدا ","  2022-04-03T15:18:00Z","0","2"
"98","اطلڨونا ريزو تحسب ان نطلبو فيكم","  2022-04-03T23:35:00Z","0","1"
"99","كاين عرض خير تع سمانت 1000دينار
يعضوك 30جيجا"," 2022-04-03T15:26:00Z","0","2"
"100","15 jours !! Jamais 7akmetli fog 5 jours 😒
Dirolna des offres ta3 internet bark lhdrat besma7"," 2022-04-03T20:16:00Z","0","0"
"101","واش الفايدة كي تعمر شهر ب30 جيجا والريزو ماكانش او شبه مكانش كي شغل راك توهب دراهمك لجماعة صدكة صدكة في سبيل الله"," 2022-04-03T12:26:00Z","1","1"
"102","الريزو 000000","  2022-04-02T12:25:00Z","2","1"
"103","اودي شا دكم للعروض احسنونا غير في تدفق الانترنت فقط رهي تكاد تنعدم","  2022-04-02T15:20:00Z","1","1"
"104","ديرو هدة فرمضان زيدو العروض والتدفق يهديكم ربي
رمضان كريم ⁦❤️⁩اما عرض السما هذا ميفرحش","  2022-04-02T14:48:00Z","0","1"
"105","عروض رمضان مكانش هاد العام راني نستنا بله نأكتيفي.","  2022-04-02T13:33:00Z","2","0"
"106","شكرا","  2022-04-02T15:40:00Z","1","2"
"107","كي تطلقوا الريزوا ساهل الحال","  2022-04-03T04:51:00Z","0","1"
"108","ردو علينا امبعد ديرو عرض جديد","  2022-04-02T15:47:00Z","0","1"
"109","رديت بيس تاعي من بيكس لسيما اكتيفيت 100 دينار فعرض سيما ميكس نحيتوهالي .علاه ماتاكتيفاتش .😠😠","  2022-04-02T20:13:00Z","0","1"
"110","🙂لي يعرف كفاش نحي هد سما يقولي راني درتو و ندمت؟","  2022-04-02T12:46:00Z","6","1"
"111","ما كان ماكان خسارة الدعاية والاعلان
رب يتقبل منا ومنكم","  2022-04-02T12:32:00Z","1","1"
"112","خصم اموال من رصيد من خدمات التي فرضتم علينا بدون اذن","  2022-04-02T12:40:00Z","3","1"
"113","لم أتمكن من التحويل إلى عرض سما
وماتقوليش أتصل بأقرب وكالة ","  2022-04-03T22:02:00Z","0","1"
"114","وين راهم عروض رمضان ولا مكانش هاد العام 🙄🙄","  2022-04-02T13:51:00Z","1","0"
"115","بصح حسيت روحي تكلحت في لاجونس كي درتها ماقالوليش على مشكل مساجات لغير موبيليس وشوفو العرض واش حاطين فيه","  2022-04-02T23:08:00Z","0","1"
"116","حولت البيس تاعي من بيكس ل سما كيفاش نردها كيما كانت بيكس","  2022-04-02T18:04:00Z","0","0"
"116","من الأحسن إعادة النظر في تحسين نوعية الشبكة الكارثية قبل تقديم هذه العروض و خاصة خدمة الانترنت و الجيل الرابع 4G","  2022-04-02T12:29:00Z","1","1"
"117","مخرجش عندي العرض سما تع 1000دج","  2022-04-03T11:11:00Z","0","0"
"118","راح تهبل من الثقل نتاع الانترنت هههههههه","  2022-04-02T12:24:00Z","2","1"
"119","موبيليس دير اعصاب مع كونيكسيو","  2022-04-02T13:54:00Z","1","1"
"120","علاش مكاش عروض تع رمضان ...نعرفو غير تدور دراهم و صايي","  2022-04-02T15:00:00Z","0","1"
"121","كبفاش نسلف من موبيليس","  2022-04-03T13:17:00Z","0","0"
"122","والريزو كيفاه 🤣🤣🥴🥴🥴🙃","  2022-04-02T13:06:00Z","0","1"
"123","ردو فلخاص","  2022-04-02T17:07:00Z","0","0"
"124","حرام عليكم ديتولي ليزينيتي 😭😭","  2022-04-03T01:57:00Z","0","1"
"125","حبيت نسقسيكم عندي بيس موبليس يعيطولي و مانعيطش ويقولولي اتصل بمصلحة الزبائن واش ندير من فضلكم قولولي","  2022-04-02T13:09:00Z","0","0"
"126","عرض sama control واش فيه، لانو في الموقع لا يوجد محتوى العرض سوى الجوازات","  2022-04-02T13:35:00Z","0","0"
"127","كائن عروض في رمضان كريم","  2022-04-02T13:37:00Z","0","0"
"128","حبيت نرجع لابيس تاعي pixx بعد ما حولتها لsama","  2022-04-02T19:01:00Z","0","0"
"129","Connexion 0 3g","  2022-04-02T13:12:00Z","0","1"
"130","Mobilis نحن ننتظر في عروض رمضان
هل هناك عروض هذه السنة؟","  2022-04-02T15:41:00Z","1","0"
"131","هذاك لاكونيكسو زين تاعكم","  2022-04-02T12:26:00Z","0","1"
"132","كيفاش نحولها
ولا لازم نروح لأقرب وكالة 😏😏","  2022-04-02T12:24:00Z","0","1"
"133","عييتونا بالكونيكسيون تاعكم 4g متطلعش","  2022-04-02T12:28:00Z","0","1"
"134","بارك الله فيكم . بعد التجربة عرض سما جيد يعني تخير لي يساعدك . نتمنى تزيدو ديرو عرض انترنت وهدرة مع بعض تاع مدة طويلة عقد كمثال 6 أشهر او 12 شهر ويكون بسعر مناسب وشكراااا","  2022-04-03T17:14:00Z","1","2"
"135","هل المكالمات نحو موبيليس. مجانية في عرض sama net","  2022-04-02T15:01:00Z","1","0"
"136","ليمساج للشبكات الاخرى منقدرش نبعت !","  2022-04-02T12:27:00Z","0","0"
"137","فالجزائر الصيغة 2G 3G 4G والتدفق واحد ☝","  2022-04-02T15:44:00Z","0","1"
"138","كيف اقوم بإلغاء خدمة سما ولماذا الأنترنت ضعيفة في هذا العرض","  2022-04-04T15:08:00Z","0","1"
"139","نحوها وحدكم مش تغرمونا عليها لينتي... لنفليكسوها طيروها…","2022-04-04T15:07:00Z","0","1"
"140","Hadi b ls unité yak","2022-04-04T11:00:00Z","3","0"
"141","هذو مشي شروط تحسب راح نربح رحلا للفضاء","2022-04-04T14:41:00Z","0","1"
"142","انتم الاصل والباقي تقليد 🌷🌷❤️
شكرا موبيليس لانك بيننا","2022-04-04T12:02:00Z","0","2"
"143","شكرا موبيليس","2022-04-03T15:10:00Z","0","2"
"144","حسنو خدمة الانترنت لكي نستطيع الدخول الى الرابط","2022-04-03T17:21:00Z","0","1"
"145","شكراً موبيليس وصح رمضانكم","2022-04-04T01:41:00Z","0","2"
"146","#نطالب بتحسين خدمة الانترنت","2022-04-03T16:40:00Z","2","1"
"147","رمضان كريم وربي يحفظكم والله عمال موبليس أحسن معاملة وتربية وأخلاق","2022-04-03T15:28:00Z","0","2"
"148","أين هي عروض رمضان 2022 شهر في العام ڨراتوي مكانش اه يا موبيليس واش درت بينا","2022-04-03T14:18:00Z","0","1"
"149","ولله فلكست 100تلف عطوني 30 عاود قلولي بلي عطوني 13","2022-04-04T06:14:00Z","0","1"
"150","A quoi bon de gagné alors que la cnx matmchich ","2021-12-23T15:14:00Z ","1","1"
"151","عرض جد كارثي بالنسبة لمن يستخدم فايسبوك بكثرة .. تولي تكونصومي من البداية و يخلصولك 15 جيڨا في أقل من اسبوع .. كما انك لا يمكنك العودة للعرض السابق .","2022-04-02T12:43:00Z ","7","1"
"152","ana 30g rahat fi 15 j","2022-04-02T16:01:00Z","0","1"
"153","كنكسون ضعيفة جدا والريزو ناقص حتى الدبي ضعيف تحت الصفر.","2022-04-02T09:26:00Z","3","1"
"154","في رمضان وتكذبو ربي يهديكم كي تروح تشري بيس كشغل فيزا🙄 عندهم ريزو قوي🤨 كي تخرج من عندهم 😡برك😬😤ريزو زيرو0","2022-04-02T13:41:00Z","0","1"
"155","أصلحوا مشكل شبكة الأنترنت والمكالمات من فضلكم قبل أن تتحدثوا عن هذه العروض فهذه الشبكة تكاد أن تكون معدومة!","2022-04-02T11:05:00Z","0","2"
"156","صراحة، أول مرة نقنع بسرعة انترنت تاعكم، ان شاء الله","2022-04-02T15:57:00Z","1","1"
"157","الريزو تاع موبيليس زبل خاشاكم","2022-04-03T10:21:00Z","0","1"
"158","90 جيغا انترنت في شهر والسرعة توازي سرعة السلحفات ما الفائدة ؟!!!!90 جيغا هاذي تعطوهاني في عام ما نكملهاش وين راني عايش انا 😄😄😄","2022-04-02T11:10:00Z","14","1"
"159","و موبيليس غير محدود ... عرض فاشل غلطت درتو مرة اولى و منزيدش نديروووو خسترة الدراهم
كنت حاسبة مكالمات نخو موبيليس غيؤ محدود خاطر من مفروووض بااينه هذه اي اكتيفايصيون تاع 1000 و 1500 من مفروض باينه","2022-04-02T09:40:00Z","10","1"
"160","السرعة طير","2022-04-03T05:50:00Z","0","2"
"161","و موبيليس غير محدود ... عرض فاشل غلطت درتو مرة اولى و منزيدش نديروووو خسترة الدراهم كنت حاسبة مكالمات نخو موبيليس غيؤ محدود خاطر من مفروووض بااينه هذه اي اكتيفايصيون تاع 1000 و 1500 من مفروض باينه","2022-04-02T09:40:00Z","10","1"
"162","العرض لمخير وهة نظري هدرة وانترنت هو تاع
1500 دج سما مكس
يعطيلك 30 جيغا + 3000 دج لكل شبكات ونحو موبليس غير محدود
وبالتالي لو نديرو عملية حسابية غي اليوم الواحد تستهلك 1 جيغا معنتها تكملك الشهر عادي . وجهة نظري انه افضل عرض وسعر ونتمناو يرجعوه ب 1000 دج يكون اروع","2022-04-04T09:40:00Z","1","2"
"163","انه اسوء عرض لماذ النت فيه حلزون","2022-04-02T11:05:00Z","1","1"
"164","ساما أحسن بكثير انا جربتها ومن جميع نواحي احين يزيدولك لجيغا ولهدرة","2022-04-03T05:30:00Z","0","2"
"165","شكرا","2022-04-02T09:42:00Z","0","2"
"166","كي تولي التغطية والتدفق في حالة.. ماعندنا مانديرو ب90 جيڨا بالعكس خسارة دراهم في باطل","2022-04-02T10:28:00Z","2","1"
"167","الله يبارك احسن شبكة في منطقة نتاعنا","2022-04-02T09:42:00Z","1","2"
"168","الكونيكسيو رها عيانة","2022-04-02T09:19:00Z","0","1"
"169","لوكان سڨمتولنا غير الشبكة و منبعد ديرو عروض","2022-04-02T02:08:00Z","0","1"
"170","شكلة كبيرة منيتكم دايرين عرض كما هذا و عاجبكم 😕","2022-04-02T11:17:00Z","0","1"
"171","أسوء تغطية و أسوء انترنت و مرانيش نحكي على العاصمة نحكي على باقي ربوع الوطن","2022-04-02T10:51:00Z","4","1"
"172","اضعف شبكة فالعالم..كي ندخل للدار الريزو و مكانش..امام المنزل 2g..كيف استفيد من عروضكم و الشبكة ضعيفة في مدينتنا...إتقو الله","2022-04-02T10:12:00Z","4","1"
"173","المشكل راه في الشبكة بمعنى التدفق راه اقل من تدفق 3G","2022-04-02T22:06:00Z","1","1"
"174","موبيليس أسوأ ريزو","2022-04-02T09:42:00Z","0","1"
"175"," الشبكة ضعييييفة جدا جدا حتي في وسط المدينة .الشبكة كارثية","2022-04-02T10:25:00Z","1","1"
"176","هاذيك الكونكسيون يا خويا ياخويا","2022-04-02T13:11:00Z","0","1"
"177","زدونا في تدفق المنخفض😕👎","2022-04-02T10:03:00Z","0","1"
"178","حشوااات وخلاص","2022-04-02T09:07:00Z","0","1"
"179","خدمو غير ريزو نتاعكم و منبعد ساهل","2022-04-02T19:54:00Z","0","1"
"180","منهار رجعت سما هدا راحت موبيليس","2022-04-03T13:10:00Z","0","1"
"181","المشكل راهو فلريزو وكونكسيون
كل شهر نخصرو دراهم في باطل","2022-04-02T10:05:00Z","1","1"
"182","جمعية كافل اليتيم الكاليتوس تهنئكم بدخول شهر رمضان وتسأل الله لكم في هذا الشهر حسنات تتكاثر، وذنوب تتناثر، وهموم تتطاير، وأن يجعل بسمة بسعادة، وأن يجعل صمتكم عبادة، وخاتمتكم شهادة، ورزقكم جميعاً في زيادة، وبكل زخات المطر وعدد من حج أو اعتمر رحمةً وعفواً لا ينقطع","2022-04-02T09:35:00Z","1","0"
"183","مكمش حشمانين على ارواحكم","2022-04-02T13:55:00Z","1","1"
"184","تحشاتلي كي بدلت والله 🤦‍♂️","2022-04-02T13:52:00Z","0","1"
"185","هحولولي العرض ولا نكسر لابيس","2022-04-02T13:47:00Z","0","1"
"186","دعوة الشر هدي سيما","2022-04-02T10:23:00Z","0","1"
"187","نصيحة متجربوهاش اسوء شبكة تدفق ضعيف","2022-04-02T12:01:00Z","1","1"
"188","أولا سڨمو الريزو لوكان يعطوك 1000 جيقا في شهر مش راح تستهلك غير 1جيقا لانو ماتمشيش ريزو عيان...
ثانيا يعطولك عرض وماتقدر تبدل لعرض آخر ولا شئ واذا حاب عرض جديد لازمك تسمح في رقم الهاتف تاعك...
ثلاثا الإجابة اللي ديما يقولوهالك كي دير ريكلاماسيون على ريزو يقلك فرقنا التقنية تحاول جاهدة اصلاح الخلل وسوف يتم اصلاحه في اقرب وقت...وقت الاصلاح ماحبش يلحق كامل راني في عامين.","2022-04-02T11:51:00Z","6","1"
"189","رحتلهم حتى لاجونص قالولي الحل الوحيد نعاودولك بيس ونفس المشكل والله ماعندها حل الحلول كامل درتهم راك في دزاير كلش معوج ربي يصلح لبلاد والعباد","2022-04-03T12:16:00Z","1","1"
"190","الأنترنت بلا مكالمات عيانة !","2022-04-02T10:19:00Z","1","1"
"191","كي تعدلو الريزو احشيوهالنا بالعروض اما ضرك عشرالاف وخسارة فيكم 😏😏😏","2022-04-02T10:47:00Z","11","1"
"192","ديرولنا فيسبوك باطل اكبر حشوة هاذا العرض . لان الفيسبوك يكونصومي قاع لي جيقا","2022-04-02T14:32:00Z","0","1"
"193","اعدلو الريزو تاعكم ومن بعد ساهل","2022-04-02T09:04:00Z","5","1"
