text,label,label_raw,source_dataset,emoji_flag
Sara Ben nafs lmochkil,1,0.0,dataset_1,0
عندي شريحة جيزي3Gكيفاش ردها 4G,1,0.0,dataset_1,0
برافو عليكم صراحة استمروا هكذا,2,1.0,augmented,0
نميلوا و منطيحوش 😂✌😏😂,1,0.0,dataset_1,-1
كنت جميل عرض أنتضره من زمن طويل شكرا موبليس 💖,2,2.0,augmented,0
سويتش عندي عام ملي شريتعا <br>لكن مشكل هدره 150ماتكفيش <br>وثاني ليمات هذو ريزو فليل عيان,1,1.0,dataset_3,0
عرض أسطوري تاع 100ب 30 جيغا تاع 100ب أول مرة ديرو حاجة زينة في حياتكم 🥰🥰,2,2.0,augmented,1
We're working on that 😁,1,0.0,dataset_1,0
واش راك  شكرا,2,2.0,augmented,0
وشبيها كونيكسيو مانقدرش نلعب اونلاين,0,-1.0,dataset_1,0
سلام عليكم كاين pixx 200 دج 400دج مع30 جيغا..,0,0.0,dataset_3,0
انا أؤكد انها خسرت لكن جيزي ليست غبية اكيد هناك مؤامرة و تكسير لكلام رئيس الجمهورية حفظه الله,0,0.0,dataset_3,0
20 جيجا الي تجي مع المودام مفيهاش سرعة منخفضة,1,1.0,dataset_3,0
خدمة انترنت رديئة جدا دون المستوى حسبنا الله ونعم الوكيل فيكم .. كل شهر نخلص 1500 دج بصح جامي استعملت ربع تاع ليجيغا هادوك والله ما نسمحلكم,0,-1.0,dataset_1,0
ياهند كونكسيو عندي ثقيلة لبارح وين أكتفيت بصح مكان والو,0,1.0,dataset_2,0
يا خوتي لاسويتش ننصحكم مديروهاش ولا متنشافش لكونكسيون تاعها وزيد متقدرش تحبسها مناه مسنيي كونطرا تاع عام سما اوبليجي عليا نسلك كل شهر 150 لاشتا مانيش حاب⁦❤️⁩,1,1.0,dataset_3,0
❤️ ممتاز والله,2,2.0,augmented,0
نعم أحسن تغطية، لكن سرعة التدفق جد بطيئة في ولاية عنابة إنشاء الله تؤخذو بعين إعتبار مشكل Bande passante عندكم و الله ولي التوفيق,2,2.0,dataset_2,0
Wa3elach ooredoo 3endi 20 mb ou nta 2 mg,0,0.0,dataset_3,0
انا عندي سويتش تاع 1500 صافي 6 اشهر تمشي فوور بزاف فالكونيكسيون أحيانا كي ندير تاست تلحق عندي حتى 85 ميغا,2,2.0,dataset_3,0
تشيت ياسر لموبيليس,0,0.0,dataset_3,0
mm ana ya khoya tal3t application mais mahbtch td5el,0,-1.0,dataset_1,0
ooredoo ilimity 400 da أحسن كونيكسيون Upload F good,2,2.0,augmented,0
هل كلامك صحيح انا عندي اتصالات ااجزائر ميتة,1,1.0,dataset_3,0
سرعة الشبكة مثل السلحفاة، هه هه هه هه، بطيئة، و ثقيلة ثقيلة ثقيلة جدا، خدمة رديئة، راكم تاكلونا 400دينار وو الخدمة ما كان والو حسبنا الله ونعم الوكيل، السحت,0,-1.0,dataset_1,0
حظ في موفق فعاليات القادمة مزيد من نجاح وتألق إن شاء الله,2,2.0,augmented,0
لا انصح باوريدو اكبر محتالين,1,1.0,dataset_3,0
Lokan tzidoulha 10G mli7a :),0,-1.0,dataset_1,0
ما فهمش هديك تسقيف دجيزي,0,0.0,dataset_3,0
Djezzy darate 3ard 300da ya3tok 100 giga,2,2.0,dataset_3,0
راني امحمل زمان وراه يتمشى عادي,2,2.0,augmented,0
مدرتنش الهوايء تاع. مدام اريدو ساهله,0,0.0,dataset_3,0
عروض مليح والريزو في كامل لبلايص مليح,2,2.0,dataset_2,0
Live ta3hom retard ki bghit cnx t3hom tji khefifa 🤦‍♂️,0,-1.0,dataset_1,0
La puce dir 300da. Après lazem t'activy 500da Bach ikoun 3endek 5go w Ila habiti tzidi l'option fb insta illimité zidi 3liha 600da ou tchedlek ge3 chhar 😊,1,0.0,dataset_1,0
عندي ريدمي تسعة غلوبال <br>ميمشيش 3g<br>وكي ندير #06#*<br>يخرج غير الرقم التسلسلي فقط <br>ميخرجش الايمي,0,0.0,dataset_3,0
مليح بزاف  نوصي بيه,2,2.0,augmented,0
ريزو ضعيفة كي زبل تاعكم اخدمو بركاكم سرارقا,0,-1.0,dataset_1,0
تحيا اريدو 👌👍لاسويتش,2,2.0,dataset_3,1
علاه سكرتولي لابيس ومحابينش تفتحوها,0,-1.0,dataset_1,0
Top 4g marche très bien même si le compte internet est épuisé la connexion marche très bien,2,2.0,dataset_3,0
راك قديم,1,1.0,dataset_3,0
._.mh jyaha,1,0.0,dataset_1,0
حولوهالي.لجيزي هبال.انتاع100,1,0.0,dataset_1,0
نتمنى يتم تسمية سلسلة أخبار تك ب خبر تك تجي مع الدارجة نتاعنا سوا سوا خبر Tech<br>بمعنى خبرتك علمتك بالجديد وشكرا أخوك من ولاية باتنة🙂,0,0.0,dataset_3,0
C'est quoi le souci exactement svp ?,1,0.0,dataset_1,0
الكنكسيو تاعكم ما تصلحش و 100جيڨا واش دير بيها خرطي,0,-1.0,dataset_1,0
السلام عليكم أخي من فضلك كيف يتم ربط جهاز mi TV stick مع الهاتف لإظهاره على شاشة التلفاز وشكرا,0,0.0,dataset_3,0
بغيت نقول لكل لعمال والقائمين في هده الشركة نيكماتكم واحد بواحد ومستعد لأي شكوى تقدم ضدي يولاد لقحاب تاكلو فدراهم ناس,0,-1.0,dataset_1,0
شكرا لكم بالتوفيق ان شاء الله,2,2.0,dataset_2,0
الحمد الفيديو افادني,0,0.0,dataset_3,0
اخي شريت شريحة قولد اوريدو جديدة و اعطوني 12 جيڨا فقط ب 140 دج كيف ارجعها 40 جيقا,0,0.0,dataset_3,0
Nta dal tochker fihom ou dork jay t9ol dir hamla yaw hamla daha lwad,0,0.0,dataset_3,0
كلهم شبكات مستوى تحت صفر كامل <br>عيينا,1,1.0,dataset_3,0
انا راهم يجوني les offres كي ندير shake ?,1,0.0,dataset_1,0
يت يما شحال ثقييل اهدر برحم باباك,0,0.0,dataset_3,0
Sorry brk mn9drch nl3b m3a les bot ghir,1,0.0,dataset_1,0
اجيزي ليزينيتي كيصرالهم؟فليكسيت 30 الف لقيت عندي 17 الف,1,0.0,dataset_1,0
Chhal tQilla bezzaff chriikii,0,-1.0,dataset_1,0
Nchlh nrba7 ya rabbi😂😂,1,0.0,dataset_1,-1
مكانش واحد مدحكم ولا تكلم عليكم بالخير نصيحة ياإما تعدلو رواحكم ولا سكرو احسن,0,-1.0,dataset_1,0
احكلنا عن قانون جديد راح يطبقوه في جانفي بخصوص المنتجات لتشريها من خارج الجزائر لكان عندك الحق تقدر تشري المنتجات التي لا تفوق 500€ ولكن بداية جانفي تقليص المبلغ إلى 50€ هل هذا صحيح,0,0.0,dataset_3,0
سقدو ارواحكم مع ريزو نتاعكم وزيدو فتدفق رانا نعانو. صراحة وليتو تعيو بدينا نعيفو خط نتاعكم . وقلو مسريقة فلفاتورات,0,1.0,dataset_2,0
خويا عندي جيزي تاع 80 جيغا خفيفة,2,2.0,dataset_3,0
هه جيت هنا,0,0.0,dataset_3,0
بصح ريزو فيها ثقيل ماشي كيما pixx,0,1.0,dataset_2,0
ريقلو ريزو تاعكم تاع 4G راهو زبالة,1,0.0,dataset_1,0
راهي عندي سويتش ماننصح حتى واحد بها أكبر غلطة فحياتي درتها الحمد لله راهي لحقتلي عام نقدر نوقفها فيها أكبر سريقة ليجيڨا 50 جيڨا تخلاصلك في سمانتين,1,1.0,dataset_3,0
سما مكاش كيفاش ديرولنا زيرو فلفيسبوك 🙁,0,1.0,dataset_2,0
أوريدو عندها yooz,0,0.0,dataset_3,0
cnx ta3kom kii ..,0,-1.0,dataset_1,0
تحيا موبيليس.. طياارة.,2,2.0,dataset_3,0
عندي بيس موبليس. Top4g حاب نفلكسي 50 الف نديرها فلمودام اسكو تمشي مليح ولالا مع علم عندنا ريزو موبليس مليح توالنا,0,0.0,dataset_3,0
❤️🔥,2,1.0,dataset_1,0
شكرا جزيلا على المعلومات القيمة و بارك الله فيكم,2,2.0,dataset_3,0
الي حابه تسمان الي حابه تبيض بشرتها و تتهلى فيهاا و الي حابه تطول شعرها و تقويه و تتعلم تحط مكياج و تعرف كلشي على المايك اب تدخل عندي تشوف و 😍😍ديرلي ابوني با يوصلك كل جديد,1,0.0,dataset_1,1
واش بيها انترنت رانا نعانو,0,1.0,dataset_2,0
كل يوم نڨول نdésabonné من القناة هادي <br>واليوم راني قررت قرار لا رجعة فيه<br>ديما المندبة كبيرة و الميت فار <br>العنوان يسخف و المحتوى يهفف,0,0.0,dataset_3,0
rockstar,1,0.0,dataset_1,0
مليحة كونيكسيون ومفيهاش ضرائب,2,2.0,dataset_2,0
تحيا فرنسا التي افطست منكم مليون,0,0.0,dataset_3,0
راهم يسرقو. حبو؛ يعوضون الدراهم، لي داهم، محرز,0,-1.0,dataset_1,0
اوريدو سويتش راني نعاني,2,2.0,augmented,0
شريتها و تحشاتلي حسبي الله ونعم الوكيل فيهم,1,1.0,dataset_3,0
لابوس قديمة,1,0.0,dataset_1,0
W kifah l7al,0,0.0,dataset_3,0
bravo 👌👌 continue comme ca,2,2.0,dataset_2,0
connexion rahii vrai 3iyana hade les 4 jours Mobilis sagmou 7ala,0,1.0,dataset_2,0
لا أستطيع اجراء مكالمة نحو جازي و الشبكات الأخرى وتخبرني المتحدثة أن رصيدي غير كافي وتقع اتصالي. رغم أنني مشتركة في عرض جازي امتياز 1200 دج ولدي رصيد إضافي. أريد حلا لو سمحتم. لأنني اتصلت بمصلحة الزبائن وعند تم تحويلي لتقديم شكوى، أخبرتني مجددا أن رصيدي غير كاف,0,-1.0,dataset_1,0
Kifh activi 1500,1,0.0,dataset_1,0
هذا كيستيون ما يحتاجش سؤال,1,0.0,dataset_1,0
راه عندي مشكلة اوريدو كولد,1,1.0,dataset_3,0
أنا عندي تمشي عادي و بدون تقطيع..و حتى تحميل,2,2.0,dataset_3,0
شبكة رديئة,1,1.0,dataset_3,0
في ولاية الاغواط جيزي أفضل من موبيليس,2,2.0,dataset_3,0
لكتبة لي فاتريكو تاعك مقلوبة 😂,0,0.0,dataset_3,-1
نعدين بالاك انتوما و الكونكسيو تاعكم سراقين آخر مرة راح نفليكسي عندكم,0,-1.0,dataset_1,0
عيدكم مبارك وكل عام وانتم بخير وصحة وعافية إن شاء الله,1,0.0,dataset_1,0
من باتنة جيزي كارثة عندنا,1,1.0,dataset_3,0
cnx ta3kom t3ayi,0,-1.0,dataset_1,0
احنا جيزي هي المليحة في جيزي هي سطيف,2,2.0,augmented,0
"Ida chrit&#39;ha lazem troh t&#39;hawes win kayen antenne 4G, pourquoi commercialiser une telle arnaque là où c&#39;est pas couvert. Je suis à 350 mètres d&#39;une antenne oore&#39;zbel et ce n&#39;est même pas du 512.",1,1.0,dataset_3,0
جيزي عندي 4 اشهر ملي نحيتها,1,1.0,dataset_3,0
فهموني برك ليوم يخلاصلي الديلي على00: 12<br>بقالي 3 جيقا، فليكسيت على أساس نعاود نجددها، قاعد نكونيكتي على أساس مازال عندي الديلي حتى00: 12 لقيتهم نحاولي 300 دينار، لي فهم يفهمنا يتسمى السرقة سومبيتي، هذا وين عرفت بلي لبلاد هاذي كامل سراقيين، بصح ذرك كصرت لابيس وتهنيت، بلاد هاذي يسرقك بأيي طريقة، سبحان الله,1,1.0,dataset_3,0
ماذا عن عرض يوز في اوريدو,0,0.0,dataset_3,0
❤️❤️❤️❤️❤️❤️❤️,2,1.0,dataset_1,0
non,1,0.0,dataset_1,0
اريدو يسرقوا بزاف ومكاش امتيازات,1,1.0,dataset_3,0
كي نفليكسي 50 الف قداه يعطوني,1,0.0,dataset_1,0
اطلقوا كونكس برك,0,-1.0,dataset_1,0
داير تاع 105Gbومتكفيش وزيد كونيكسيون فل ليل تروح😢,1,0.0,dataset_1,0
Merci d&#39;informer les Algériens bonne continuité,0,0.0,dataset_3,0
عرض سما خردة بالكم منها سرقة بام عينها,0,1.0,dataset_2,0
دجيزي 4g+ الجلفة ، تصل حتى 60 ميغا,2,2.0,augmented,0
conexion 3andi t9ila bel besaf,1,1.0,dataset_3,0
خدمة مليحة بزاف,2,1.0,augmented,0
Mzl??!,1,0.0,dataset_1,0
جيزي confort نحاو الالتزام,1,1.0,dataset_3,0
الانترنت بتدفق مليح,2,2.0,dataset_3,0
Despo a bejaia aussi?,1,0.0,dataset_1,0
يعرفوا يشطاروا غير فالعاصمة و الولايات الكبرى و باقي الولايات شغل مكاش.. علاش رنا نخلصوا بالدراهم و لا بالحمص,1,1.0,dataset_3,0
تغطية شبكة هاتف ضعيف في منطقة ساعة وانت الوو الوو الوو..؟,0,1.0,dataset_2,0
ردو علينا في خاص من فضلكم,0,-1.0,dataset_1,0
Nchalh,1,0.0,dataset_1,0
انا عندي عام ودعت اوريدو والدور يجي على جيزي,1,1.0,dataset_3,0
This is awesome ..,2,1.0,dataset_1,0
💪🏻 BOOM .kc,2,1.0,augmented,0
Bnsr j voulais juste savoir pourquoi ma conexion internet 4g se dégrade de jours a l'autre pourtant elle a était superbe..?? Jé envoyé un msg privé aucune réponse,1,0.0,dataset_1,0
Si possible d&#39;utiliser Modem avec Switch,0,0.0,dataset_3,0
سرعة عندي راهي في 35,2,2.0,augmented,0
انا تعجبني جازي,2,2.0,dataset_3,0
تحيا اوريدو اوريدو لاسويتش لاسويتش,2,2.0,augmented,0
Li kan 3andah Izzy ma9bel y9der ydir had l3afssa,1,0.0,dataset_1,0
Réseau a3yan bezaf,0,-1.0,dataset_1,0
يا أخي راك في 6 أشهر وأنت تهدر على 4g advance حنا مزال مشفنا والوو أن نسكن في وهران رحت عند مبيليس قالولي مكانش منها قالولي هذا راه يشكل عليكم .,0,0.0,dataset_3,0
أريدو أنترنات طيارة خو,2,2.0,dataset_3,0
ديرنا فيديو اذا هبطو الهواتف,0,0.0,dataset_3,0
سرفيس مليح والله برافو,2,1.0,augmented,0
جزي اب لود 47Mbدون لود30Mb 😍,2,2.0,dataset_3,1
خدمة مليحة بزاف ✅,2,2.0,augmented,1
انا في البارح شريتها راهي تبالي مليحة خير مla gold مل 20 g ردوهالي 12g يزعقو علينا,2,2.0,dataset_3,0
20 جيڨا متكملش بسك تدفق نفس مزلنا بال 3G وثقيلة,0,-1.0,dataset_1,0
Hhh sérieusement 110 5go illimité YouTube yerham babek ya khouya ya khouya li ydirha hadi ghir lebghel f raso tharcho bina,0,-1.0,dataset_1,0
Kifeh ndir beh nactivi,1,0.0,dataset_1,0
ريقلونا الكونيكسيو واشبيها هذو الايامات راهي ما تصلحش ارجو عدم التجاهل والاهتمام بالزبون,0,-1.0,dataset_1,0
موبيليس راهي شبعت اذا مافهمتش نفهمك راهم يخدمو فوق القلب علاه يدير برومو مليح,1,1.0,dataset_3,0
يا خاوتي واحد يجاوبني هاديكا 50 جيغا البونيس نقدر نتيليشارجي باها ولا غير للمواقع التواصل الاجتماعي,0,0.0,dataset_3,0
Lmohim chof kifah nkhaltoha 3lihom. ..Rana kaaml 3andna nafss problème,1,1.0,dataset_3,0
Mkayn wlo fu hda l'application,1,0.0,dataset_1,0
وين يبيعوها في وهران صاحبي حوست عليها في المحلات مالقيتهاش,0,0.0,dataset_3,0
متبانش مليح كنت قادر تصور من تليفون خير,0,0.0,dataset_3,0
شكرا خونا .,2,2.0,dataset_3,0
wlh hada win dkhelt l toilette w chft l fou7a li darha had lbahloul hna sma7li sa7bi 😂😂,1,0.0,dataset_1,-1
ان شاء الله ب ربي 🙄 شرح تاعك مفيه حت فهم,0,0.0,dataset_3,-1
.isdn mouah,1,0.0,dataset_1,0
شكون لي جاع العرض تا دجيزي ليوم مجاني,2,1.0,dataset_1,0
اعدلو الريزو تاعكم ومن بعد ساهل,0,1.0,dataset_2,0
ياخويا شوف الانترنت واش بيها ضعيفة,0,1.0,dataset_2,0
10:36 mzal😢,0,-1.0,dataset_1,0
ربي يحفظك خويا,2,2.0,dataset_3,0
Cette offre mlih bzff mais c'est cher lokan tnakso les GB dirouha 15G et le prix 100da c mieux,1,0.0,dataset_1,0
بلاد الشعر سراقين الكوناكسيو والريزو الزين ويقولك عرض هائل تبهديل,1,1.0,dataset_3,0
حياتي كامل راحت في تعبئة جامي نقصولي ، بلعكس يزيدولي 😔😔,0,-1.0,dataset_1,0
رييزو فالموبلييس رااه مكاش كاامل مفهمتش علاه في البليدة,0,1.0,dataset_2,0
انا ألقيت 11.4 ..و 8.57,0,0.0,dataset_3,0
Djezzy زعمة علاش كتبتي نسرين من لخر 🙃,1,0.0,dataset_1,-1
موبليس رآها كونكسيو ضعيفة ونجمة جولد أكثر تحيا جازي,1,1.0,dataset_3,0
تفليكسي 500 +600 ولا غي 600 ??,1,0.0,dataset_1,0
ما شاء الله ! 😉👍,2,1.0,dataset_1,1
عجبني عرض تاعكم 200 net sama فيه 90 جيغا مليح,2,2.0,augmented,0
فنان,2,1.0,dataset_1,0
هه وباللغة العربية واش نسميوها هه والله ماعمبالي,1,0.0,dataset_1,0
موبليس زيروو في زيرروو,0,1.0,dataset_2,0
"السلام عليكم اتمنالك النجاح في قناتك , ممكن تزيد تفهمني مليح في هذا الفيديو والله مافهمت",0,0.0,dataset_3,0
Khalef Sif Elislam بربي ان شاء الله خويا هاذ المرة لخرة لي نفليكسي فيها,0,-1.0,dataset_1,0
اريدو اريدو باطل و جايزي و موبيليس,1,1.0,dataset_3,0
انا 40Go تع جيزي كنت نكملها وتخصني. كنت نتيليشارجي افلام يوميا حتى اخر لحظة,1,1.0,dataset_3,0
كفاه نشارك,1,0.0,dataset_1,0
الكنوكسيون راهي ثقيلة على سيري تع سلطان قورصو ديرولها حال يرحم باباكم 😕,0,-1.0,dataset_1,0
3lch t9olo hakka 😂😂,1,0.0,dataset_1,-1
صح,0,0.0,dataset_3,0
Djezzy وجهك صحيح و تزيد تسقسي,1,0.0,dataset_1,0
Djezzy ها ردوا عليا في الخاص راه عندي مشكل في النت ضعيف بزااف وثاني حتى المكالمة,0,-1.0,dataset_1,0
صدقني صاحبي غير كل يوم ثقيلة وراح نبدلها باسكو عييت منها,0,-1.0,dataset_1,0
اابينڨ الحقيقي يبان وسط اللعبة اما الموقع يعطيك رقم وهمي,0,0.0,dataset_3,0
خاوتي عرض هايل متديروش على لي يقولو العكس يقولو العكس,2,2.0,augmented,0
الله لا يربحهم،،صح، ،،سراقين، سراقين،،سرقين,1,1.0,dataset_3,0
Valable only 3 mois lewline ?,1,0.0,dataset_1,0
أحسن عرض هو لاسويتش ب1500 دج عندك 50 جيڨا ، و ب 2500 دج عندك 150 جيڨا و ب3500 دج عندك إيليميتي و كاين اللي قالو 200 جيڤا,2,2.0,dataset_3,0
انا راهي عندي بصح راك تعرف كشغل صوص بلا لحم تاع زواوله كيما انا نشوف ليتوب بضباب,1,1.0,dataset_3,0
انظروا إلى التعليقات يا دجيزي بفف,1,0.0,dataset_1,0
انا نسكن في وهران ولا توجد تغطيه,0,1.0,dataset_2,0
مشاء الله لالا لابيس مشاء الله عليها,2,2.0,augmented,0
صح ممتاز والله,2,2.0,augmented,0
Es que raha disponible cette puce nachriha men la direction,0,-1.0,dataset_1,0
جازي كارثة,1,1.0,dataset_3,0
"Ou et comment joué?,??",1,0.0,dataset_1,0
أنا مشترك منذ سنوات,0,0.0,dataset_3,0
Sympa la nouvelle appli ! 👏 ! 👏,2,1.0,augmented,0
الشعب كامل راه يشكي من العروض وسوء الخدمة والسرقات ..نريد توضيح,0,1.0,dataset_2,0
نتا هداك هو لي يشكر الموت حرفيا,0,0.0,dataset_3,0
ماسبب تقديم العروض لبعض الزبائن دون الجميع,1,0.0,dataset_1,0
خاوتي ننصحكم ب oredoo Switch 9owa,2,2.0,dataset_3,0
على جالهم قريب كسرت تلفون <br>بصراحة كل مرا حكيتلك على جيزي فيها مشاكل كبيرا <br>و خلاص جيزي بايباي و الله دورو ميراوه من عندي,1,1.0,dataset_3,0
ديرلي تاست من العاصمة و تبقا تشكل ولايات اخرين اوريدو راهي تعجب,2,2.0,dataset_3,0
C&#39;est bien mais concernant le débit sincèrement je suis déçu depuis 4 ou 5 ans que la 4 G existe on a pas vu d&#39;amélioration en contraire ça été mieux avant,1,1.0,dataset_3,0
على زين الكونكسيو وتزيد تبرطاجيعها..يااو فاقوو,0,-1.0,dataset_1,0
ya tichno dz badalna intro ta3k dirlna musi9a mli7a hada intro t9ol starr war hh😂,0,0.0,dataset_3,-1
0.01bps? cnx chaba?,1,0.0,dataset_1,0
#Slowmo cnx avec djezzy 🚶‍♂️ P.S : 9asdkom Summer Finish Pack .. psq kmel sayf 🤷🏻‍♂️ !!,1,0.0,dataset_1,0
يهديكم ربي رجعولي 8 جيغا توعو سرقة هكا ول كي نتوم كي عرضكم,0,1.0,dataset_2,0
عندي سمارة س نقدر نردها هايلا بزاف,1,0.0,dataset_1,0
مزال نفس سرعة هنا في سطيف,0,0.0,dataset_3,0
جا في وقته هذا الفيديو,0,0.0,dataset_3,0
خدمة مليحة بزاف,2,2.0,augmented,0
الافضل,1,0.0,dataset_1,0
Donne nous alors la ps4 svp,1,0.0,dataset_1,0
مكانش ريزوا تاع جيزي ناقص عدنا,0,-1.0,dataset_1,0
من البارح ماكان والوو,0,-1.0,dataset_1,0
Djezzy كانت تتغير مي عندكم وقت connexion ماشي مليحة ثقيلة وامتياز ماغيرتوش فيها مام عروضك جديدة 😒 عادية مابقاتش هايلة كيما كانت,1,0.0,dataset_1,0
Merci beaucoup,2,2.0,dataset_3,0
اومباعد يقولك حنا ضد دولة بسبت هادوا ناس دزاير محباتش تتسقم,1,0.0,dataset_1,0
جيزي هايلة بزاف خراا عمرها ما تعدات 150 كيلوبايت فيديو في يوتيوب ويمشي غير 144 دقة <br><br>و انا من بومرداس,1,1.0,dataset_3,0
ماراحش تريقلو الكونكسيون و تردوها كيما كانت ايا حنا غادي نعتازلو دجيزي كامل العائلة و لي معايا يدير جام,0,-1.0,dataset_1,0
اذا كان يديرو شراكة مع اريدو و حنا ما تنفعناش علاش يديروها و ماشي راني نهدر على لعبة فري فاير و بس راني نهدر عليهم قاع اي لعبة تعتمد على الشحن خاصة في هاذي ظروف يلزم كل واحد يحكم بيتو وزيد كاين لي ما عندوش دراهم باش يشحن و مين داك يشوف صحابو شاحنين تحكمو لقنطة 😂😂هخهخهه عيد مبارك,1,0.0,dataset_1,-1
😢😢😮,0,-1.0,dataset_1,0
Djezzy بصبص نسرين,1,0.0,dataset_1,0
شفنا الحل,1,1.0,dataset_3,0
الله يرحم شهدائنا الابرار,1,0.0,dataset_1,0
كي نتوحش واحد يكدب نتفرجك,0,0.0,dataset_3,0
Ki tsgmona lconix wb3eda shel,1,0.0,dataset_1,0
عندي أوريدو والله الحمد لله خير من وموبليس,2,2.0,augmented,0
مقدرتش نشترك,1,0.0,dataset_1,0
جيوي هي شابة 200دج 80جيغا و400دج,2,2.0,dataset_3,0
موبيليس صحيتو,2,2.0,augmented,0
صح مافيهش les mutations,0,0.0,dataset_3,0
رهي تمشي نورمال حتى 1gb لي زادوها عادي,2,2.0,augmented,0
هل تصتطيع الاتصال بشريحة نجمة خارج الجزائر,0,0.0,dataset_3,0
سراقين الله يخد الحق,1,1.0,dataset_3,0
