text,label_raw,source_dataset,label,emoji_flag
Il faut changé la puce?? J'ai une hayla maxi,0,dataset_1,1,0
🙌🙌,1,dataset_1,2,0
The worst connection ever in Algeria,-1,dataset_1,0,0
حابة نرجع بيس تاعي hayla maxi.. كفاش ندير!! .dz,0,dataset_1,1,0
عروض جيزي هي الأسوأ,-1,dataset_1,0,0
"A déconseiller, j’ai fais l’erreur de passer de ooredoo a djezzy vu qu’il offre plus de forfait internet mais a l’utilisation j’étais choqué de leur connexion et de 20 h à minuit c’est catastrophique même pas utilisable sachant que j’habite alger centre ! ils sont en retard des années, je vous déconseille de faire la même erreur, et je vous conseille aussi de les quitter car c’est des voleurs vu que j’ai arrêté l’utilisation de la puce dès le premier moi eux ils continuent de comptabiliser les mois et jusqu’à aujourd’hui ils m’appellent sur mon numéro ooredoo pour me dire que je dois venir payer mes factures alors que ça fait des mois que je n’ai pas utilisé la puce , et que le jour meme j’ai demandé à propos de cet merde et le monsieur m’a dit que si j’arrête l’utilisation de la puce ils arrêteront de comptabiliser",-1,dataset_1,0,0
I am translating the songs and I need followers so if follow me if you want 🌀🌀,0,dataset_1,1,0
N9dr nsst3mlha fi téléphone?,0,dataset_1,1,0
نشاله كي تكون انترنت خفيف في الليل نشريها,-1,dataset_1,0,0
Yaww cnxx 😡,-1,dataset_1,0,0
كونيكسيو تعيي -_-,-1,dataset_1,0,0
L'3orod ghi hiya w ntouma L 4G ma 3ndkomch y'a zuuh sagmo réseau ta3kom mnb3d diro L 3orod ta3 khra,-1,dataset_1,0,0
هل هي4G,0,dataset_1,1,0
"Ya djezzy😡😡, activit ta3 1200 da 30g et 1500da , fi 2 jours klitouli 16g 😡😡 c pas normal, 16 tchadli 1 mois 😡😡",-1,dataset_1,0,0
"We are the new generation, we are connected 😎😉Join us w'ykoun 3endek 5Go 😍 zyada b'300DA #izzy #djezzy #dz",1,dataset_1,2,1
9,0,dataset_1,1,0
Bonne continuation .dz,1,dataset_1,2,0
👎👎 kol 5a6ra tzido t5rboha,-1,dataset_1,0,0
Ma mafhamtch bla39l bark 🇩🇿,0,dataset_1,1,0
Si je comprends bien 800da andi 10go ?,0,dataset_1,1,0
ouii😍,1,dataset_1,2,1
.dz ❤️❤️❤️,1,dataset_1,2,0
🔥🔥,1,dataset_1,2,0
💓💓,1,dataset_1,2,0
علاش مديروش 500دج فيها 500دج 5جيغة انترنات و فيسبوك و انستغرام باطل,0,dataset_1,1,0
Kon gir chftoli blasa m3a new generation 😍😐,1,dataset_1,2,1
Pendant semaine 🤔,0,dataset_1,1,0
800 da 10 go internet ou credit chhal ?,0,dataset_1,1,0
Ta3 800da → 200da crédit +15go Internet walah la kanet msa3dtna ghaya rodoha,0,dataset_1,1,0
👏👏,1,dataset_1,2,0
😂😂😢😍,1,dataset_1,2,-1
علاه متديروش جيزي باطل و 5 جيقا انترنت,0,dataset_1,1,0
حسنو التغطية ومبعدا ديرو العروض .👎👎,-1,dataset_1,0,0
وشنو لكود لي نديروه؟!!,0,dataset_1,1,0
Andi 600 b 12g,1,dataset_1,2,0
.uz wsh mn ma puce khoya yarham waldik,0,dataset_1,1,0
.fe hayla maxi,1,dataset_1,2,0
.uz kifach ndir bach nachriha,1,dataset_1,2,0
.dz mala tahecholna diro 300 da 5go wahedha bla 500 da hadik,-1,dataset_1,0,0
Nzid 200 Da 3and ooredoo ya3toni 20 Go 😉,-1,dataset_1,0,0
Lazem nv puce wla ghir n activiw had labonement brk ??,0,dataset_1,1,0
il t’ont pas obligé a le faire,0,dataset_1,1,0
saqssitehom homa machi nta,0,dataset_1,1,0
rek fel commentaire taei,0,dataset_1,1,0
SVP makanch offre mafihch djezzy batel,0,dataset_1,1,0
😂😂,0,dataset_1,1,-1
Dert hadik ta3 5G 5jr khlaso 😭,-1,dataset_1,0,0
.fe sa9si elihah sahbi wla dir *720# o chof ask ya9lbohalk,1,dataset_1,2,0
أنترنت ضعيفة جدا 😂😂,-1,dataset_1,0,-1
gold?,0,dataset_1,1,0
wah,1,dataset_1,2,0
"not enough , 10 gb nowdays is nothing",-1,dataset_1,0,0
Qsq je doit faire pour avoir cette option ?,0,dataset_1,1,0
How to activate this offer?,0,dataset_1,1,0
chaho lkode li diro,0,dataset_1,1,0
.mitala ih dik kant bien bzaff,1,dataset_1,2,0
♥️,1,dataset_1,2,0
*720#,0,dataset_1,1,0
Mais cnx prk t9ila ?,-1,dataset_1,0,0
Mt9drch thder batel 30j psq ana dirtha fi 4j khlast wlit mn9drch nhder mais cnx kayna dork hiya ta3 cnx w mich t3 hdra yek wla kifav !!,0,dataset_1,1,0
راكم تخرطو لعوض لي تنقصو لبري,-1,dataset_1,0,0
Est-ce que l'offre imtiyaz est disponible dans cette puce ?,0,dataset_1,1,0
ma3lich tgolili 3la had l'option,0,dataset_1,1,0
800 da = 10 G alor apres 30 jr?? Ki zaama,0,dataset_1,1,0
hadi fi ooredoo la gold tkhali 100 Da ya3tok 20 Go w had l'offre ta3 djezzy 800 da ya3tok 10 Go.,0,dataset_1,1,0
pendant un mois 😊,1,dataset_1,2,0
la prochaine fois ndiroulek plaça 😂,1,dataset_1,2,-1
mercii❤️,1,dataset_1,2,0
500da vers tous les réseaux,1,dataset_1,2,0
oui c'est valable 30 jours 😊,0,dataset_1,1,0
.dz mora 30 jr ki nwalo nflixo 800 da ??,0,dataset_1,1,0
Lala matahchilich,-1,dataset_1,0,0
Mauvaise affaire 😏,-1,dataset_1,0,0
😂😂فرغي قلبك 🤣🤣,0,dataset_1,1,-1
سڨمو ريزو منبعد ساهل 👌,-1,dataset_1,0,0
5 deux jours ykhlsso,-1,dataset_1,0,0
كلي 5 جيقا بزاف☹ انا تكمل في يومين,-1,dataset_1,0,0
سما نكونيكتو ب 5جيڨا شهر تبقا 5 هكا؟؟,0,dataset_1,1,0
nchallah b rabi rak fahem😂,0,dataset_1,1,-1
💩💩,-1,dataset_1,0,0
W hedi ta3 500da whdha esq djeezy illimité 1 mois ?,0,dataset_1,1,0
لي عندو صحبتو عندها موبيليس ولا اوريدو 500 تاعكم تروح في نص ساعة واش من شهر لي نحكو عليه هه,0,dataset_1,1,0
Svp abonné la page Pretty princess8814,0,dataset_1,1,0
بهدلندتونا يا جيوي بهذا العرض,-1,dataset_1,0,0
H bal c mieux,0,dataset_1,1,0
كونيكسيو تاعكم تروح على 21:00 وراكم تتمنيكو نيك زبي,-1,dataset_1,0,0
c pour quand le lancement!,0,dataset_1,1,0
Rani hab nhabes l'abonnement teb9ali la puce nrml yek ?,0,dataset_1,1,0
"500 da wela 300 da , kif kif rani dayer special 200 da/ mois jamais consomit forfait internet ,indoor ta3kom zero",0,dataset_1,1,0
Waaw ces bien,1,dataset_1,2,0
🤲 nchalh lconixou🌐 tkon kfifa,0,dataset_1,1,0
cette puce n'a aucun sens Je préfère l’offre imtiyaz avec 600=12gb+ilimité djezzy+1500da/mois,-1,dataset_1,0,0
Rakom ghi Tachéklo 3linà 😝😅,-1,dataset_1,0,-1
Vive oredoo 100da 20go 400da hadrra l tous les rèseaux hadrra illimité mn oredoo l eredoo 👌🏻,-1,dataset_1,0,0
Ch7al la puce svp je veut dire ki tachriha ?,0,dataset_1,1,0
ميش افار ادي حكايتك نفليكسي لوريدو بمئة عشرين جيغا ربعمية الف هدرة🙂,-1,dataset_1,0,0
Kifh hedi wlh la fehmt,0,dataset_1,1,0
ولله غير اني نفلكسي1500يعطيني 5 جيغا كانت 40جيغا رجعوهالي5جيغا,-1,dataset_1,0,0
+ felxy net ? Qui veux dire ??,0,dataset_1,1,0
مع DJEZZY APP تقدر دير بزّاف حوايج 😍! ما عندك غير تحمّلها 📱👀 قولولنا فالتعليقات واش من عرض شريتوه بالتطبيق,0,dataset_1,1,1
زيدو مدونا أنترنت باطل لي يسجل فيها,0,dataset_1,1,0
مدولنا,0,dataset_1,1,0
مدولنا 1g لي يسجل بيها تعيشوا,0,dataset_1,1,0
❤️❤️❤️,1,dataset_1,2,0
Publication hayela,1,dataset_1,2,0
غير عدلو الريزو و الانترنت و من بعد ساهل نخلصو في الفاتورات باطل,-1,dataset_1,0,0
Dok hadi app Nass yahdro 3liha 😒😒,-1,dataset_1,0,0
"true, we could definitely use some of that !",0,dataset_1,1,0
nchlh diro section surprise sur izzy,0,dataset_1,1,0
ريزو 0 و الانترنت تقيلة بزاف 😏😕,-1,dataset_1,0,0
وجهكم صحيح 🙄 انترنت زبل تغطية زبل و نزيدو تديرو ابليكاسيو باش نطلعوها اذا فيها 10 ميغا لازملى ساعة باش تكمل بالريزو تاعكم,-1,dataset_1,0,-1
سمعت بلي راكم خارجين من الجزائر علاببها راكم تزكرو فينا لا كونيكسو لا ريزو وحنا واش سبتنا,-1,dataset_1,0,0
👏🔥🔥 20da +1gb,1,dataset_1,2,0
ما شاء الله ! 😉👍,1,dataset_1,2,1
Izzy baynaa😍,1,dataset_1,2,1
💪💪,1,dataset_1,2,0
فليكسي بواسطة البطاقة الذهبية,0,dataset_1,1,0
Wow 😂😂,1,dataset_1,2,-1
جازي الأسوء من كل النواحي,-1,dataset_1,0,0
ايه و مبعد ايبعتونا رنتي,0,dataset_1,1,0
نستناو فيكم تفهموا رواحكم بلي 4G تاعكم راهي كيشغل راهي 1G,-1,dataset_1,0,0
Where is the dark mode 🧐,1,dataset_1,2,0
تطبيق الله يبارك مليح عجبني بزااف وزيد كي تنزلو عندك 1G انترنيت باطل صالحة لمدة اسبوع 😍😍😜,1,dataset_1,2,1
💔😒,0,dataset_1,1,0
Et après ça une connexion merdique,-1,dataset_1,0,0
Mliha had l'application bzaaf tsahel ❤️,1,dataset_1,2,0
Merci pour votre fidélité 😁,1,dataset_1,2,0
عجبتني 1Go باطل,1,dataset_1,2,0
🔥❤️,1,dataset_1,2,0
Continuer bonne courage ❤️,1,dataset_1,2,0
اسوء شبكة من ناحية تدفق الإنترنت في قلب العاصمة 2G🤣,-1,dataset_1,0,0
أضعف شبكة وأضعف عروض وأضعف تغطية على مستوى العالم,-1,dataset_1,0,0
شعال دير؟,0,dataset_1,1,0
انا ترجعولي لوفر تاع 60 الف ربي يسهل 😂😂,0,dataset_1,1,-1
عروض مليح والريزو مهوش في كامل لبلايص مليح,-1,dataset_1,0,0
#izzy 🔥🔥,1,dataset_1,2,0
أنا هدا وين راح نسييها مي فوور بزاف عحبتني والأنترنات نتعها طيارة ماعندي مانخير شكرا جازي,1,dataset_1,2,0
❤️,1,dataset_1,2,0
Basah wach tbadel fiha mazal kolach kima rah🤔🤔,-1,dataset_1,0,0
You want some more? 😁B’300da 3endek 500da crédit zyada 🤙😍Enjoy 😉 #djezzy #izzy #dz,0,dataset_1,1,1
Lah lah 9elechtouna yeah👌,1,dataset_1,2,0
بقداه شراوك برك 😒,0,dataset_1,1,0
bishette lem9elcha te3 izzy 😎,1,dataset_1,2,0
bravo 👌👌 continue like that 💪💪,1,dataset_1,2,0
"B'300da machi aendna 5go zyada?, wela doka ki nzid 300da tzid 5go et 500da credit?",0,dataset_1,1,0
.sch khiyer w'ekhtar ! W'ila habit les 2 test9amlek 600da,0,dataset_1,1,0
Win nal9aha ??,0,dataset_1,1,0
fi Kamel les points de vente dialna 😊,0,dataset_1,1,0
🎉🎉,1,dataset_1,2,0
Khas nchri puce jdida?,0,dataset_1,1,0
😍,1,dataset_1,2,1
اولدي عرض تافه نحيو ل 50 الف لولة مشي خير ؟ كل واحد يخير لي يحتاج😉,-1,dataset_1,0,0
Votre est aussi merdique que votre réseau!!On veut internet illimité pas 5gb!!,-1,dataset_1,0,0
hbit ns9sik lokn nflixi 300 da n9dr nactivi hdra batel wla lazem nflixi 500 bch n9dr ndir ta3 300 da ?,0,dataset_1,1,0
.kr تاكتيفي ل 50 لولا باه تقدر تاكتيفي لخرين عليها عرض فاشل 👎,-1,dataset_1,0,0
hfdk khoya,0,dataset_1,1,0
Bon fhmoni ida tchriha b 600 w fiha 5G,0,dataset_1,1,0
Wela tchriha b 300 w tflixilha!!,0,dataset_1,1,0
._89s dcr mrc,0,dataset_1,1,0
._89s apres chaque mois tflixi 500da bla mtchri puss jdida!!,0,dataset_1,1,0
pass prv,0,dataset_1,1,0
Mzlt kyna?,0,dataset_1,1,0
😆😆 la veste 🧥 t7lbnalh,0,dataset_1,1,0
Explain to me how to do this ?,0,dataset_1,1,0
الكنوكسيون راهي ثقيلة على سيري تع سلطان قورصو ديرولها حال يرحم باباكم 😕,-1,dataset_1,0,0
Negatif,-1,dataset_1,0,0
Mi Chehal Tahkeem La Pus,0,dataset_1,1,0
1ans b offer Hada ?,0,dataset_1,1,0
tchriha b 300 w bach tjik 5g w 500da crédit il faut tzid 500da ça fait 800da bin kolchi,-1,dataset_1,0,0
Rahi disponible f tlemcen,0,dataset_1,1,0
Insta ta3 2 ème photo svpl,0,dataset_1,1,0
C quoi flexy net gratuit?,0,dataset_1,1,0
You made your choice ! 👏Zid 600DA 3endek YouTube 🎬 illimité 🔥pendant un mois ! 😍Because #iZZY is unlimited 👌,0,dataset_1,1,1
❤️❤️❤️❤️❤️,1,dataset_1,2,0
Yaw ntoma rayhin tkhrjoha fi 200 alf hh tasm3 ghir zid zid,-1,dataset_1,0,0
.kc BOOM 💪🏻,1,dataset_1,2,0
Youtube illimité + 5G cnx wla bla biha,1,dataset_1,2,0
علاش مدروش با 600دج Facebook Instagram wattsap,0,dataset_1,1,0
Tzid 500 + 100 = 600 Da wla 500 + 600 =1100 Da,-1,dataset_1,0,0
Et pour l'insta ? Svp est ce que ki nzidou 600da nkhyrou bin insta wla youtube illimité wla les deux à la fois ??,0,dataset_1,1,0
نريد الشحن بالرصيد,0,dataset_1,1,0
L buz rak fahme 😂,-1,dataset_1,0,-1
Hadra batel avec djezzy khirmeen youtuube,-1,dataset_1,0,0
Mais l'offre d'instagram et facebook est mieux que youtube !!,-1,dataset_1,0,0
Sa veut dire 1100da =insta +FB + YouTube illimité ou quoi?,0,dataset_1,1,0
Lazem t'activy l'offre de base te3 5go à 500da ou tzid 600da Bach ikoun 3endek Youtube illimité,0,dataset_1,1,0
يعطيك الصحة على الإقتراح 😊,0,dataset_1,1,0
1100 😊,1,dataset_1,2,0
"Bessah machi lazem tzid koulech 😂 li imout 3la fb insta y'activihom, li idel ichouf les vidéos y'activy youtube illimité. Koul wahed wesh isa3dou 😁",0,dataset_1,1,-1
.dz Ha fahmouna ba arab mafhamt Walou,-1,dataset_1,0,0
boom 💪🔥,0,dataset_1,1,0
.kc yeahh menn,1,dataset_1,2,0
زيد مقال زيد 😂😂,0,dataset_1,1,-1
.senouci pas de panique elle est toujours dispo 😁 vous pouvez choisir l'offre qui vous convient entre Youtube et Fb+Insta,0,dataset_1,1,0
Hadi Hiya الديمقراطية 👀,0,dataset_1,1,0
الجماعة لي شراو لابيس اعطونا رايكم خفيفك كونيكسيو فيها 🙏,0,dataset_1,1,0
.hm illimité seulment pendant 30 jours ctt,0,dataset_1,1,0
hdik khllwaha cadeaux le 14 février offres spéciale hallbin 😌,0,dataset_1,1,0
on peu stream avec ca au moin ?,0,dataset_1,1,0
"makach mouchkil 😁 kayen puce jdida iZZY techriha b 300da. Oumba3d ki t'activy 500da 3endek 5go internet, 500da crédit tous les réseaux fi 30 jours. W'ila habit ikoun 3endek Instagram w fb illimité f 30 jours en plus m'en hadouk les 5go zid 600da. Sinon Ila habit YouTube illimité zid 600da. Khiyer 3la hsab les préférences dialek 😊",0,dataset_1,1,0
.hm Lala nti khiyri wesh isa3dek. Ila habiti 5go + fb insta illimité c'est 1100da. Ila habiti 5go + youtube illimité c'est 1100da. W'ila habitihom gee3 : 5go + fb insta youtube illimité c'est 1700da 😊,0,dataset_1,1,0
5G brk 💁💁🙂zidoLnA,-1,dataset_1,0,0
1100 ghalya 💁🤞🙄,1,dataset_1,2,-1
.dz Oh cool 💯🔥,1,dataset_1,2,1
.dz ga3 hado w mknch des appels illimités vers djezzy !!,0,dataset_1,1,0
.dz oh merci bcp😻,1,dataset_1,2,0
انا حبيت يوتيوب برك شحال نفليكسي,0,dataset_1,1,0
.dz m3a cnx ta3kom khfifa bzf dir 1 radoha 1 million 😂,-1,dataset_1,0,-1
Et pr les appels !! Y-a-t-il un offre spéciale !! 😕,0,dataset_1,1,0
.hm ghiir khtiik 😏,-1,dataset_1,0,0
💪🔥🔥,1,dataset_1,2,0
500+600 = 1100da 😊,-1,dataset_1,0,0
Hhh sérieusement 110 5go illimité YouTube yerham babek ya khouya ya khouya li ydirha hadi ghir lebghel f raso tharcho bina,-1,dataset_1,0,0
prq?,0,dataset_1,1,0
Djezzy I'm the next feature marki 3ndek,1,dataset_1,2,0
".hm ç cher ,aprés ma yemchilkch mm pas insta b 40 Gg w ma mchach yemchi b had l offre 😏😏",-1,dataset_1,0,0
Es que raha disponible cette puce nachriha men la direction,-1,dataset_1,0,0
تتمنيكو ب شعب نتوما يوتوب تزعقو علينا واش نديرو بيه خصنا الهدرا باطل مع جيزي و 500 كريدي هذا مكان,-1,dataset_1,0,0
0,-1,dataset_1,0,0
00🔥,1,dataset_1,2,0
.dz ki smouha la pus ??,0,dataset_1,1,0
Yakhah ana kont hab mta3 illimité puisque knt hab nchri wahda ll3jouz 😑,-1,dataset_1,0,-1
ana rani b 40G sa marche just réseau t9il💔,-1,dataset_1,0,0
".hm ouii mm ana 40 G t9iil w oumba3d wch ndiro b insta w youtoub gratuit 7na asln ma nkemloch 40 G ykhlas chhar w reseau t9il 7ata tekarhi ,je prefére y3adlo reseau khiir ma ykhatro ls offre",0,dataset_1,1,0
Hadra illimité avec djezzy khier m'en Youtube,-1,dataset_1,0,0
oui c vrai t’as raison,-1,dataset_1,0,0
.hm ouii 💔 mrc problem rah hna llah ghaleb ma kach li yesla7 rana 7amlinhom nchargé 1500da pour 40 G da aprés une védeo f insta de 2 min ma temchiich machi tekarhi 7yatek 😡😤,-1,dataset_1,0,0
oui c vrai 💔😭,0,dataset_1,1,0
".hm ouii wlh lbara7 ghadetni 3omri plus de 36 G w une video ma 7abetch temchii ghir 9bil blokat rahi grave dija had lyamat ida remarkiti , w dija blk na9solha bach yemchilhom had l offre, w nzidlk rani sur yemchiiwah ghir dok chwii w yweli kifkif t9iil 😏😏",-1,dataset_1,0,0
on verras bien,0,dataset_1,1,0
.dz متوفر في كل ولايات,0,dataset_1,1,0
5Go fiha FB w insta w youtube!,0,dataset_1,1,0
ماتساعدهمش 😜,0,dataset_1,1,0
قعرتونا بحكاية ديمقراطية عرض كي وجوهكم رجعتونا من جديد الى فخ الثنائيات ماذا تشرب ايها الزابونشاي أم قهوة !!؟لماذا تخيرني بين هاذين الاثنين الزابون قالكم نحب الماء ( كوناكسيو خفيفة) (و5 جيجاتاعك ماتكفيهش.. الطالب مثلا كي تخلاصلو يروح يتفرج يوتيوب تاعك لي فرحان بيهولا يروح للفايبر 🤔- الديمقراطية يا جيزي: الزابون يقترح وش يحب هو ماشيانت تحصرو بين خيارين تافهين وتزيد تقلو ديمقراطية هاذييقولولها التلاعب بالعقول 🙏,-1,dataset_1,0,0
شغل نقعدو غير زيد تشريها بثلاثين تزيد خمسين زيد ستين زيد ستين كفير كاين فايبر ولا هدرة باطل اذاا لااه اذا لزااف نقعدو نخدمو غير علا زيد زيد باطل ربي أو نزيد نفليكسي من الفوق كون نحتاج نهدر,-1,dataset_1,0,0
انا عندى جزي عادي كيفاش ندير هديا,0,dataset_1,1,0
"na99o3do ghiir nzido ! aya roh takhra , 100 naflixihaa HAYLA tmedouli 20Go w tab9alii 100 . مشروع فاشل",-1,dataset_1,0,0
سقموا ريزو مادا بيكم رانا نعانو,-1,dataset_1,0,0
عرض فاشل و شبكة فاشلة مع كل إحتراماتي,-1,dataset_1,0,0
512 kb /s w zid bah tactivi kolch lzem 1700 da 🙄🙄 عرض فاشلل,-1,dataset_1,0,-1
Aaah dayrinha 3la zwawla bchwi hta raditoha 100 #HAYLA c'est mieux,0,dataset_1,1,0
شخصياً 💁‍♂️🔥,1,dataset_1,2,0
💪🔥,1,dataset_1,2,0
YouTube illimité ??! 1100da,0,dataset_1,1,0
J'ai envoyé 1 GO à mon père il l'a reçu mais il a pas pu l'utiliser on ma pris 50 da en plus tout ça pour rien est ce que vous pouvez faire quelque chose ?,0,dataset_1,1,0
Lwakn dirou dirou 1100da Insta w fb w youtube illimite Rah tenejhou grave,0,dataset_1,1,0
Si vous voulez la prochaine fois zidoulna appel illimité vers djezzy et mercii,0,dataset_1,1,0
بصح 500دج قليلة بزااف زيدولنا فيها,-1,dataset_1,0,0
شخصيا اعتبر العرض فاشل 1100دج علاش منزيدش 100دج ونكتيفي مكسي 1200دج 20جيجا انترنت,-1,dataset_1,0,0
راني حاب هدره مع دجيزي برك,0,dataset_1,1,0
rohat nachrihaa f constantine galoli mazaal majabnahaach🥺🙃 waktaah tjibohaa 😍,1,dataset_1,2,-1
Habit 5G +youtube illimité mais ch7al y3toni hadra,0,dataset_1,1,0
Alors mel 500 wlina fi 110 min hak alors hya ou nta3 150 ou 130 kif kif 😠🙁😑 Yak gholto Li maunjmch y3mar 150 c'est profiter,-1,dataset_1,0,-1
.laou,0,dataset_1,1,0
Est ce que hedi pus jdida te3 djezzy welaa kifech?,0,dataset_1,1,0
علاجالكم راني نعاني فبوبجي كنكسيو كي ..,-1,dataset_1,0,0
😢😢😮,-1,dataset_1,0,0
Nzid 600DA bach nchouf les vidéos 🎬 en illimité sur YouTube ch'har complet 😍Because unlimited is #iZZY#djezzy #dz,0,dataset_1,1,1
.bjm 😂😂,0,dataset_1,1,-1
Ndjma gold vu hh.100 hadra gratuite 400tt résou 20g.l'internat hh,0,dataset_1,1,0
؟؟,0,dataset_1,1,0
W google kifech?,0,dataset_1,1,0
Diro débit mli7 après nhadro ..ilimite 9alek 😂😂.,-1,dataset_1,0,-1
Illimité b 1100 et juste youtube c'est cher nn??,-1,dataset_1,0,0
🖕🖕,-1,dataset_1,0,0
Tzma nb9aw rir nzidou hta tlha9 mlyoun bezzaf lkan tnahou hdik 500da lwlaniya chghul drc dir 600da wki thb tzid tzid m 🤷✅,-1,dataset_1,0,1
500Da +100Da wla 500Da + 600Da bach nstfad .. !!,-1,dataset_1,0,0
حاب نفهم شكون قاعد يكتبلكم في الإعلانات يرحم والديكم، ما فهمنا والو.. هل العرض هو 500 دج ثم نزيد نفلكسي 600 دج باه تولي عندي يوتوب غير محدود، والا كاين مباشرة عرض تاع 600دج و500دج والا كيفاه,-1,dataset_1,0,0
On dirait karaça .. #çukur <••>,0,dataset_1,1,0
Kifch hedi?,0,dataset_1,1,0
500da+600da a frr,0,dataset_1,1,0
Hna ng3do ghi nzidou f 5,0,dataset_1,1,0
600😒,-1,dataset_1,0,0
Djezzy kollach fiha ya3ayi 😕😕,-1,dataset_1,0,0
.dz habi ta3 5G+youtube illimité mais aussi ch7all ya3toni hadra,0,dataset_1,1,0
🥀🥀,1,dataset_1,2,0
500+600=1100 bff haka ooredoo 100 khir 🌚😑,-1,dataset_1,0,-1
.bella انا عندي جيزي هايلة بزاف ب 1500دج فالشهر فيها 40 جيڨا,1,dataset_1,2,0
هكذا ندير عرض 1200دج مكسي خير,-1,dataset_1,0,0
"Connexion zéro , b la 4G ou connexion trop trop lente à peine fb 🤬🤬",-1,dataset_1,0,0
Zagmou conx ta3kom oumba3d Sahel 😏,-1,dataset_1,0,0
"1100 en tout, et vous aurez youtube en illimité pendant un mois ! 😊",0,dataset_1,1,0
".bella Lala NTI khiyri wesh isa3dek machi lazem t'activy koulech. Ila tmouti 3la fb insta kayen illimité, Ila tchoufi bezaf les vidéos kayen illimité. 😁",0,dataset_1,1,0
Oui hayla rani mdayratha ❤️😍,1,dataset_1,2,1
+ 5go et 500 da de crédit 😊,0,dataset_1,1,0
.dz 3endek 5go pendant 30 jours,1,dataset_1,2,0
Esk N9ado n’activoha m numéro t3na?,0,dataset_1,1,0
Je la trouve sur aucun point de vent ? !,0,dataset_1,1,0
فاشلين بكل صراحة,-1,dataset_1,0,0
Ana nedir nta3 1500 3andi hadra batel djezzy w 300 da les autres réseaux w 40g netferj biha ga3 chehr khir men hadi bzf,-1,dataset_1,0,0
1100da 3la jal 5gb brk c cher,-1,dataset_1,0,0
❤️❤️,1,dataset_1,2,0
"La7choma ki Djezzy ki Ooredoo 2020 mazalna b débit ta3 yamat cyber 200 , Ghana rahom tal9o 5G wchna 3G hsalna fiha en plus n5also draham Bach même pas ta9dr tarftah page Google",-1,dataset_1,0,0
J'ai pas compris,0,dataset_1,1,0
la question qui se pose ch7al ykon debit ki nchouf une video 480p/720p 😂😂 lala ma tahchilich,0,dataset_1,1,-1
voilà 🤣 ya7chouh l nes,-1,dataset_1,0,0
