text,label_raw,source_dataset,label
5جيكا استهلكت في وقت قصير 24 ساعة رغم اني لم استهلكها . يوجد خلل عندكم,1,dataset_2,0
كونكسيو تاعها ليه ليه تكمل غير مديرش 20 ج في سمانة,1,dataset_2,0
جامي صراتلي 15ج في 10 أيام فضت... كاين حاجة ماش نورمال,1,dataset_2,0
موبيليس قدمت عروض جيدا,2,dataset_2,2
اطلڨونا ريزو تحسب ان نطلبو فيكم,1,dataset_2,0
كاين عرض خير تع سمانت 1000دينار يعضوك 30جيجا,2,dataset_2,2
15 jours !! Jamais 7akmetli fog 5 jours 😒 Dirolna des offres ta3 internet bark lhdrat besma7,0,dataset_2,1
الريزو 000000,1,dataset_2,0
اودي شا دكم للعروض احسنونا غير في تدفق الانترنت فقط رهي تكاد تنعدم,1,dataset_2,0
ديرو هدة فرمضان زيدو العروض والتدفق يهديكم ربي رمضان كريم ⁦❤️⁩اما عرض السما هذا ميفرحش,1,dataset_2,0
عروض رمضان مكانش هاد العام راني نستنا بله نأكتيفي.,0,dataset_2,1
شكرا,2,dataset_2,2
كي تطلقوا الريزوا ساهل الحال,1,dataset_2,0
ردو علينا امبعد ديرو عرض جديد,1,dataset_2,0
رديت بيس تاعي من بيكس لسيما اكتيفيت 100 دينار فعرض سيما ميكس نحيتوهالي .علاه ماتاكتيفاتش .😠😠,1,dataset_2,0
🙂لي يعرف كفاش نحي هد سما يقولي راني درتو و ندمت؟,1,dataset_2,0
ما كان ماكان خسارة الدعاية والاعلان رب يتقبل منا ومنكم,1,dataset_2,0
خصم اموال من رصيد من خدمات التي فرضتم علينا بدون اذن,1,dataset_2,0
لم أتمكن من التحويل إلى عرض سما وماتقوليش أتصل بأقرب وكالة,1,dataset_2,0
وين راهم عروض رمضان ولا مكانش هاد العام 🙄🙄,0,dataset_2,1
بصح حسيت روحي تكلحت في لاجونس كي درتها ماقالوليش على مشكل مساجات لغير موبيليس وشوفو العرض واش حاطين فيه,1,dataset_2,0
حولت البيس تاعي من بيكس ل سما كيفاش نردها كيما كانت بيكس,0,dataset_2,1
من الأحسن إعادة النظر في تحسين نوعية الشبكة الكارثية قبل تقديم هذه العروض و خاصة خدمة الانترنت و الجيل الرابع 4G,1,dataset_2,0
مخرجش عندي العرض سما تع 1000دج,0,dataset_2,1
راح تهبل من الثقل نتاع الانترنت هههههههه,1,dataset_2,0
موبيليس دير اعصاب مع كونيكسيو,1,dataset_2,0
علاش مكاش عروض تع رمضان ...نعرفو غير تدور دراهم و صايي,1,dataset_2,0
كبفاش نسلف من موبيليس,0,dataset_2,1
والريزو كيفاه 🤣🤣🥴🥴🥴🙃,1,dataset_2,0
ردو فلخاص,0,dataset_2,1
حرام عليكم ديتولي ليزينيتي 😭😭,1,dataset_2,0
حبيت نسقسيكم عندي بيس موبليس يعيطولي و مانعيطش ويقولولي اتصل بمصلحة الزبائن واش ندير من فضلكم قولولي,0,dataset_2,1
عرض sama control واش فيه، لانو في الموقع لا يوجد محتوى العرض سوى الجوازات,0,dataset_2,1
كائن عروض في رمضان كريم,0,dataset_2,1
حبيت نرجع لابيس تاعي pixx بعد ما حولتها لsama,0,dataset_2,1
Connexion 0 3g,1,dataset_2,0
Mobilis نحن ننتظر في عروض رمضان هل هناك عروض هذه السنة؟,0,dataset_2,1
هذاك لاكونيكسو زين تاعكم,1,dataset_2,0
كيفاش نحولها ولا لازم نروح لأقرب وكالة 😏😏,1,dataset_2,0
عييتونا بالكونيكسيون تاعكم 4g متطلعش,1,dataset_2,0
بارك الله فيكم . بعد التجربة عرض سما جيد يعني تخير لي يساعدك . نتمنى تزيدو ديرو عرض انترنت وهدرة مع بعض تاع مدة طويلة عقد كمثال 6 أشهر او 12 شهر ويكون بسعر مناسب وشكراااا,2,dataset_2,2
هل المكالمات نحو موبيليس. مجانية في عرض sama net,0,dataset_2,1
ليمساج للشبكات الاخرى منقدرش نبعت !,0,dataset_2,1
فالجزائر الصيغة 2G 3G 4G والتدفق واحد ☝,1,dataset_2,0
كيف اقوم بإلغاء خدمة سما ولماذا الأنترنت ضعيفة في هذا العرض,1,dataset_2,0
نحوها وحدكم مش تغرمونا عليها لينتي... لنفليكسوها طيروها…,1,dataset_2,0
Hadi b ls unité yak,0,dataset_2,1
هذو مشي شروط تحسب راح نربح رحلا للفضاء,1,dataset_2,0
انتم الاصل والباقي تقليد 🌷🌷❤️ شكرا موبيليس لانك بيننا,2,dataset_2,2
شكرا موبيليس,2,dataset_2,2
حسنو خدمة الانترنت لكي نستطيع الدخول الى الرابط,1,dataset_2,0
شكراً موبيليس وصح رمضانكم,2,dataset_2,2
#نطالب بتحسين خدمة الانترنت,1,dataset_2,0
رمضان كريم وربي يحفظكم والله عمال موبليس أحسن معاملة وتربية وأخلاق,2,dataset_2,2
أين هي عروض رمضان 2022 شهر في العام ڨراتوي مكانش اه يا موبيليس واش درت بينا,1,dataset_2,0
ولله فلكست 100تلف عطوني 30 عاود قلولي بلي عطوني 13,1,dataset_2,0
A quoi bon de gagné alors que la cnx matmchich,1,dataset_2,0
عرض جد كارثي بالنسبة لمن يستخدم فايسبوك بكثرة .. تولي تكونصومي من البداية و يخلصولك 15 جيڨا في أقل من اسبوع .. كما انك لا يمكنك العودة للعرض السابق .,1,dataset_2,0
ana 30g rahat fi 15 j,1,dataset_2,0
كنكسون ضعيفة جدا والريزو ناقص حتى الدبي ضعيف تحت الصفر.,1,dataset_2,0
في رمضان وتكذبو ربي يهديكم كي تروح تشري بيس كشغل فيزا🙄 عندهم ريزو قوي🤨 كي تخرج من عندهم 😡برك😬😤ريزو زيرو0,1,dataset_2,0
أصلحوا مشكل شبكة الأنترنت والمكالمات من فضلكم قبل أن تتحدثوا عن هذه العروض فهذه الشبكة تكاد أن تكون معدومة!,2,dataset_2,2
صراحة، أول مرة نقنع بسرعة انترنت تاعكم، ان شاء الله,1,dataset_2,0
الريزو تاع موبيليس زبل خاشاكم,1,dataset_2,0
90 جيغا انترنت في شهر والسرعة توازي سرعة السلحفات ما الفائدة ؟!!!!90 جيغا هاذي تعطوهاني في عام ما نكملهاش وين راني عايش انا 😄😄😄,1,dataset_2,0
و موبيليس غير محدود ... عرض فاشل غلطت درتو مرة اولى و منزيدش نديروووو خسترة الدراهم كنت حاسبة مكالمات نخو موبيليس غيؤ محدود خاطر من مفروووض بااينه هذه اي اكتيفايصيون تاع 1000 و 1500 من مفروض باينه,1,dataset_2,0
السرعة طير,2,dataset_2,2
العرض لمخير وهة نظري هدرة وانترنت هو تاع 1500 دج سما مكس يعطيلك 30 جيغا + 3000 دج لكل شبكات ونحو موبليس غير محدود وبالتالي لو نديرو عملية حسابية غي اليوم الواحد تستهلك 1 جيغا معنتها تكملك الشهر عادي . وجهة نظري انه افضل عرض وسعر ونتمناو يرجعوه ب 1000 دج يكون اروع,2,dataset_2,2
انه اسوء عرض لماذ النت فيه حلزون,1,dataset_2,0
ساما أحسن بكثير انا جربتها ومن جميع نواحي احين يزيدولك لجيغا ولهدرة,2,dataset_2,2
كي تولي التغطية والتدفق في حالة.. ماعندنا مانديرو ب90 جيڨا بالعكس خسارة دراهم في باطل,1,dataset_2,0
الله يبارك احسن شبكة في منطقة نتاعنا,2,dataset_2,2
الكونيكسيو رها عيانة,1,dataset_2,0
لوكان سڨمتولنا غير الشبكة و منبعد ديرو عروض,1,dataset_2,0
شكلة كبيرة منيتكم دايرين عرض كما هذا و عاجبكم 😕,1,dataset_2,0
أسوء تغطية و أسوء انترنت و مرانيش نحكي على العاصمة نحكي على باقي ربوع الوطن,1,dataset_2,0
اضعف شبكة فالعالم..كي ندخل للدار الريزو و مكانش..امام المنزل 2g..كيف استفيد من عروضكم و الشبكة ضعيفة في مدينتنا...إتقو الله,1,dataset_2,0
المشكل راه في الشبكة بمعنى التدفق راه اقل من تدفق 3G,1,dataset_2,0
موبيليس أسوأ ريزو,1,dataset_2,0
الشبكة ضعييييفة جدا جدا حتي في وسط المدينة .الشبكة كارثية,1,dataset_2,0
هاذيك الكونكسيون يا خويا ياخويا,1,dataset_2,0
زدونا في تدفق المنخفض😕👎,1,dataset_2,0
حشوااات وخلاص,1,dataset_2,0
خدمو غير ريزو نتاعكم و منبعد ساهل,1,dataset_2,0
منهار رجعت سما هدا راحت موبيليس,1,dataset_2,0
المشكل راهو فلريزو وكونكسيون كل شهر نخصرو دراهم في باطل,1,dataset_2,0
جمعية كافل اليتيم الكاليتوس تهنئكم بدخول شهر رمضان وتسأل الله لكم في هذا الشهر حسنات تتكاثر، وذنوب تتناثر، وهموم تتطاير، وأن يجعل بسمة بسعادة، وأن يجعل صمتكم عبادة، وخاتمتكم شهادة، ورزقكم جميعاً في زيادة، وبكل زخات المطر وعدد من حج أو اعتمر رحمةً وعفواً لا ينقطع,0,dataset_2,1
مكمش حشمانين على ارواحكم,1,dataset_2,0
تحشاتلي كي بدلت والله 🤦‍♂️,1,dataset_2,0
هحولولي العرض ولا نكسر لابيس,1,dataset_2,0
دعوة الشر هدي سيما,1,dataset_2,0
نصيحة متجربوهاش اسوء شبكة تدفق ضعيف,1,dataset_2,0
أولا سڨمو الريزو لوكان يعطوك 1000 جيقا في شهر مش راح تستهلك غير 1جيقا لانو ماتمشيش ريزو عيان... ثانيا يعطولك عرض وماتقدر تبدل لعرض آخر ولا شئ واذا حاب عرض جديد لازمك تسمح في رقم الهاتف تاعك... ثلاثا الإجابة اللي ديما يقولوهالك كي دير ريكلاماسيون على ريزو يقلك فرقنا التقنية تحاول جاهدة اصلاح الخلل وسوف يتم اصلاحه في اقرب وقت...وقت الاصلاح ماحبش يلحق كامل راني في عامين.,1,dataset_2,0
رحتلهم حتى لاجونص قالولي الحل الوحيد نعاودولك بيس ونفس المشكل والله ماعندها حل الحلول كامل درتهم راك في دزاير كلش معوج ربي يصلح لبلاد والعباد,1,dataset_2,0
الأنترنت بلا مكالمات عيانة !,1,dataset_2,0
كي تعدلو الريزو احشيوهالنا بالعروض اما ضرك عشرالاف وخسارة فيكم 😏😏😏,1,dataset_2,0
ديرولنا فيسبوك باطل اكبر حشوة هاذا العرض . لان الفيسبوك يكونصومي قاع لي جيقا,1,dataset_2,0
اعدلو الريزو تاعكم ومن بعد ساهل,1,dataset_2,0
90جيغا بتدفق السلحفاة,1,dataset_2,0
تحشولنا برك يعني 200 الف جاتكم قليلة كل شهر انتوما البونيس كامل ماتمدوش تعرفو غير تدو هههههه,1,dataset_2,0
العرض غالي شوية,1,dataset_2,0
ردو بالكم لي عندو بيكس يشد فيها ويريح,1,dataset_2,0
عند تعبئة الرصيد يتم سحبه مباشرة أو بالأحرى تتم سرقته,1,dataset_2,0
درتوها بيا و فليكست و ندمت 😢، أسوء كونيكسون في مجرة 😀😀😀,1,dataset_2,0
سما الفيسبوك مشي مجاني,1,dataset_2,0
يسرقولك دراهم,1,dataset_2,0
تهدر نهار ومن بعد مكانش هدرة,1,dataset_2,0
كنت نعس تليفوني لا يسرقوهلي من الجيب و موبيليس تسرقلي حسبنا الله و نعم الوكيل فيكم,1,dataset_2,0
عرض كاريثي بأتم معنى الكلمة,1,dataset_2,0
المدير تاع موبيليس ماشكيتش يمشي بموبيليس العب على روحك,1,dataset_2,0
موبيليس القنطة 🤏 كان جاتت PUS,1,dataset_2,0
تعيو 🥱🥱,1,dataset_2,0
غالية جدا,1,dataset_2,0
كل ما تهوا تلقى في سما ماتعرفوش تجيبو زوج كلمات بنفس القافية ! الهوا تجي مع الشوا مثلا,1,dataset_2,0
درتو و ندمت كفاش نرجع تلفون كيما كان من قبل,1,dataset_2,0
قييييو السلحفاه,1,dataset_2,0
شبكة عيانة,1,dataset_2,0
هل هناك عروض رمضانية قادمة أم لا ؟,0,dataset_2,1
ريزو kaka💩💩💩💩💩💩 اسوء متعامل في العالم,1,dataset_2,0
probleme ta3kom c que makanch el réseau,1,dataset_2,0
اسوء عرض لي جيڨا يفروو وحداهم يخلاصو ديراكت وبالمناسبة حبيت نسقسيكم كيفاش نعاود نرجع ل pixx!,1,dataset_2,0
awdi sabh w gol tafrat ana tani tnhchatli ma t9drch trj3ha kima kant w ga3 w lokn troh tchri pus jdida y3tolk sama 😭,1,dataset_2,0
Wow 90 gigas wonderful croyez moi j'ai la win et depuis toujours pour 1000 da j'ai 13 g pour un mois à la fin du mois je vous renvoie 12 gigas c'est pas que je l'utilise pas mais c'est la médiocrité de votre réseau non seulement mobile mais internet aussi. On réclame on change d'opérateur c'est toujours la même chose donc on finit par se faire a idée que tout est médiocre à l'image de ce pays.,2,dataset_2,2
عرض فاشل يستهلك الإنترنيت بشكل رهيب سرقة عيني عينك,1,dataset_2,0
من اكبر الحشوات هاذي سما لي عندو بيكس غي يشد فيها,1,dataset_2,0
كاين تخفضات في هذاا رمضان,0,dataset_2,1
لا أملك نقود ممكن تعملو مسابقة سحب على العرض وشكرا,0,dataset_2,1
موبليس الأسوء فالعرض sama والأسوء فالشبكة,1,dataset_2,0
الناس تحوس على عروض 1000دج تكون فيها كمية بيرة ماتهدرليش على 2000 ناس متفليكسيش هذ المبلغ جامي,1,dataset_2,0
العرض المقبول هو تاع سما مكس 1500 يعطيلك 30 جيغا و 3000 دج لكل شبكات وغير محدود مع موبيليس,2,dataset_2,2
هل ممكن نحول شريحة lawin الي هاذا عرض سما,0,dataset_2,1
مشروع فاشل,1,dataset_2,0
للأسف الشديد حتى لو كانت 1000جيقا بقيمة 100دج ما الفائدة ونحن نعاني من الخدمات ولاكوناكسيو تحت الصفر، حسنوا الخدمات ومن بعد العروض مواطن من ولاية سكيكدة دائرة عزابة,1,dataset_2,0
كل ما يسرقوك تلقاها في سما هذا العرض تع سرقة,1,dataset_2,0
مكانش كيفاش نرجع عرض بيكس ماشي قاع افار ساما هاذي 30ڨ في 15 يوم لايف فانستا راحتلي 3g سيريو,1,dataset_2,0
كفاش نديزاكتيفي sema,1,dataset_2,0
والله يا موبليس عدت تعيف شريكة تعكم,1,dataset_2,0
اسوء متعامل هوما نتوما,1,dataset_2,0
نحلولنا هاد العرض يرحم باباكم,1,dataset_2,0
"Réseau instable et connexion très mauvaise !!, veuillez résoudre le problème de votre réseau après on va parlé sur les offres et les promotions",1,dataset_2,0
وين راهي عروض رمضان المضاعفة,0,dataset_2,1
Kch promo ramadan wla rein 🤏😅,0,dataset_2,1
Quand il y aura le réseau nchalah 😑😑😑,1,dataset_2,0
مزال ملحقناش هذا العرض زعما فى رايكم امليح اشويا 😕,0,dataset_2,1
Mauvaise connexion à l'est de m'sila est son environnements.....🤮,1,dataset_2,0
Le pire des des réseaux,1,dataset_2,0
في عرض سما نت الهدرة مع موبيليس غير محدودة,2,dataset_2,2
عرض ممتاز,2,dataset_2,2
والله العظيم شكر على العروض احسن شريحة موبليس في العالم هك نبغوكما 🥰😍😍,2,dataset_2,2
راني نقارع برومو رمضان فيها ولا ما فيهاش,0,dataset_2,1
ياودي انترنت راهي مكانش طول مقارنة بجازي واوريدو في تقرت,1,dataset_2,0
عرض مليح و انترنت مليحة، تعلمت حاجة ما نسمع لحتى واحد نجرب بروحي و في وقت الذروة كونيكسيون مليحة عندي مقارنة بالمتعامل الثاني لي عندي,2,dataset_2,2
اكبر حشوة هي سما المهم السمانة الاولى يطيرولك بالانترنات نصيحة لا تشتروها فيها سرقة كبيرة او عرض تافه اكبر عملية نصب على الزبائن لوكان جات الدنيا دنيا والله غير العدالة تاكلهم,1,dataset_2,0
لالا في السما صح وزيد خدمات في اسفل السافلين,1,dataset_2,0
هاد العرض غير في رمضان باش ماتصوم ماتصلي سما شيطان قالهم راني رايح في رمضان ونتوما تهالو كملو خدمتي,1,dataset_2,0
أكبر حشوة للقضاء على بيكس وتوب 4ج,1,dataset_2,0
ماذا عن شريحة وين ليبر 65 تنتهي الانترنت بانتهاء الجيقات,0,dataset_2,1
و مافائدة انكم تعطون 100 جيغا مجانا والاتصال بالشبكة معدوم,1,dataset_2,0
عرض غالي جدا و فاشل صبيب الانترنيت لا يتعدى نصف ميڨا و الشبكة معدومة و ضعيفة و كيلكم ربي 😡😡🤬,1,dataset_2,0
مافائدة 90 جيجا و الشبكة ضعيفة,1,dataset_2,0
يا ناس هذه الغروض لا يتجاوز صبيب الانترنيت فيها أقصى من نصف ميڨا 0.55 ميڨا 😢😢😢😡 انصحكم بمقاطعته,1,dataset_2,0
