text,label_raw,source_dataset,label
انا 40Go تع جيزي كنت نكملها وتخصني. كنت نتيليشارجي افلام يوميا حتى اخر لحظة,1.0,dataset_3,1
السلام عليكم حبيت نسقسيك خويا عرض تاع 150 هايلة بزاف يبقا ديما ولا يتبدل بعد 3 اشهر كي لبيسات لوخرا ؟؟,0.0,dataset_3,0
عندي كثر من ثلث شهر ونا نستعمل فيه لعرض تع 150 الف فيه 3000 هدرة و 40GB ولسماس هذي لي عندي جيزي عرض تع هايلة بزاف<br>بصح ضعيفة لكونيكسيو تحيا هايلة ماكسي كونيكسيو روعة واليوتيوب ميڨريش صاحبي و HD,2.0,dataset_3,2
يخلاص الشهر ويبقاولي لي جيڨا بزاف هل كاين عفسة نقدر نحكم هذوك لي جيڨا ونقدر نستعلهم من بعد ما يخلاص الشهر؟؟,0.0,dataset_3,0
😂😂شهر الدول كليت 40 go غلق هالي 😂,1.0,dataset_3,1
خويا انا ماشي يوتوبير بصح اوريدو 20 جيغا راحت في 10 ايام ربي وكيلهم,1.0,dataset_3,1
خويا سؤال نحب نسقسيك <br>umdigi a5 pro<br>هل يستحق الشراء,0.0,dataset_3,0
بارك الله فيكم,2.0,dataset_3,2
شريت هايلة ماكسي اكتيفيت 120 الف لقيت 20 جيڨا. بصح قالو بلي عرض 3 اشهر برك وترجع 10 . ما فهمت والو . وزيد حبيت نسقسي اسكو الفيس بوك ڨراتوي زي موبيليس والا لا,0.0,dataset_3,0
صح رجعت 10 جيغا ولا لالا؟؟,0.0,dataset_3,0
هل يمكن تحويل هايلة بزاف اي هايلة ماكسي ...؟,0.0,dataset_3,0
Oui. Dir *720*6#. Men ba3d taakiid 1,0.0,dataset_3,0
Oui ta9der,0.0,dataset_3,0
حاج موسى موسى الحاج,0.0,dataset_3,0
تقدر اتعاوني انا كانت عندي عروض امتياز حولتها لعروض هايلا حبيت نرجعها لامتياز واش اندير بليز رد اعليا،🙏🙏,0.0,dataset_3,0
ana 3ndi hayla maxi ta 1200 tjini ya3touni 10Go mch 20Go kifech ??,0.0,dataset_3,0
ارجو رد 120 الف 6 جيغا هذيك في هايلة بزاف صح تشد 30 يوم ولا لي يخدم بزاف تروحلو قبل شهر ؟,0.0,dataset_3,0
@تكنو ديزاد ALGERIA TECH hadi 600 alef mois weche men puce svp,0.0,dataset_3,0
اذا تخدم بيها بزاااف وتتفرج في سمانة ولا 10 ايام تخلصلك ننصحك تفليكسي ب 1500 روووعة راني نخدم بيها الشهر يخلص وهي مزال باقيلي فيها,2.0,dataset_3,2
تكمل في 15 يوم اذا خدمت بها بزاف و بلاك قل تع 40 جيغا احسن,2.0,dataset_3,2
باينة هذي لحساب متخدمي بيها,0.0,dataset_3,0
نوو 600 الف خير,2.0,dataset_3,2
أخويا هديك تع ربعين جيڨا بربعين ألف مزلت كينة,0.0,dataset_3,0
بدلت من هايلة ماكسي لبزاف و ندمت كيفاه نرجعها,0.0,dataset_3,0
نقدر نحول من هايلة بزاف الى ماكسي قبل متخلاص الكونيكسيو ؟,0.0,dataset_3,0
تعطيك ااصحة خو,0.0,dataset_3,0
عن تجربة Ooredoo top 100/100 في الانترنت بدون مجاملة خاصة haya Switch,2.0,dataset_3,2
تحيا اريدوا 150 ب40Gتتمتع بصح جيزي 60G يوتوب ماتتفرجش تخرج غيل من المدينة ليراك ساكن فيها تحبس شريتها وندمت بزاف,1.0,dataset_3,1
واه اوريدو انترنت مليحة بصح 20 جيغا داوهالي في 10 ايام,1.0,dataset_3,1
نهار جاء باروش تاع منتج فيديوهات الدعارة عطاولو انترنت فائقة السرعة للمواطن ومعندوش مسكين ،يعرفو يسرقوا غير الشعب هذ الشركات الدنيئة وذات خدمات الدنيئة منعرف علاه الدولة ساكتة عليهم هك والله,0.0,dataset_3,0
سوفريت مع connexion jezzy هايلة مالا مكرا راني شريت puce اخرى خلاص ،اي ليكم,1.0,dataset_3,1
انا لبيس تاعي سبيسيال حبيت نبدلها لهايلا ماقدرتش,0.0,dataset_3,0
عندي جيزي هدرا نحوس نبدلها جيزي ماكسي عاونوني,0.0,dataset_3,0
انا راهي تخلاصلي قبل الشهر خطرات بسبع الى ثمانية أيام مع اني اتابع في اغلب الاحيان اليوتوب وتيك توك وانمي سلاير والعب فري فاير تبقى حاير,1.0,dataset_3,1
اني عندي زوج دجيزي يعيفو هايلة سرقة عيناني مع خرجت كانت مليحة دك 00000 اني راح نبدل يا اوريدو يا موبيليس,1.0,dataset_3,1
ليس جيدة <br>نقول بصح لا تغضبو<br>ننكرها و نكرها لا خطش يكملو ليميقى🕊 بلخف<br>اوريدو يطول🐢🐢,1.0,dataset_3,1
هل شريحة هبال أحسن من هايله ماكسي وبزاف,0.0,dataset_3,0
Hayla maxi mliha 3la hayla bizaf fi ivites w les bonus,2.0,dataset_3,2
شريت هايلة بزاف 40 جيڨا شهرين لوالا كونيكسيو طيارة الشهر الثالث راهي زبل مكاش ڨاع علاه منيش عارف؟؟,1.0,dataset_3,1
خاطر سرقين نقولك بظليل هدرتي انا تقني سامي اعلام الي و جيسام ولاد الحرام بدلوها ولات gprs 3g زوبية,1.0,dataset_3,1
نطبعو فدراهم يازح، علاش مكانش تاع 1000دج وهذا لخرا يديرلهم، فلاشهار باطل و موبيليس راه. راقد,1.0,dataset_3,1
Djezzy confort est ce que fiha limitation...,0.0,dataset_3,0
شوف فيديو كامل,0.0,dataset_3,0
انا اول واحد في الجزائر نستهلك انترنات <br>60 جيڨا في 15 يوم,0.0,dataset_3,0
🤣🤢🤣🤣🤣🤣🤣🤣🤣,0.0,dataset_3,0
كرهتينا في كلمة ليميتاسيون تقول درتي اختراع,1.0,dataset_3,1
20جيقا بشححال بالشهر فماكسي,0.0,dataset_3,0
1000,0.0,dataset_3,0
شكون مليحة هايلا ولا ماكسي,0.0,dataset_3,0
هايلة بزاف نخدم بيها رووعه,2.0,dataset_3,2
انا نسلكها نسلكها المشكل هو كونكسيو 👎,1.0,dataset_3,1
اودي جزي ڤاع ماشي پوست,1.0,dataset_3,1
تحسب طاهر ميسوم راك يتكلم <br>منا ...و مالهيه ...و كدا ...و لاخر........<br> وضح جيداا اخي باش نفهمو مشكور على الفديو,0.0,dataset_3,0
😀😀😀😀😀😀😀😀😀😀😀😀😇😇😇😇😇,0.0,dataset_3,0
ياخويا تحيا اوريدوا,2.0,dataset_3,2
اوريدو تاع الشهر بشحال ؟ و شحال يمدولك ليجيغا,0.0,dataset_3,0
وجيزي هبال واش رايك,0.0,dataset_3,0
دجيزي شركة محتالة,1.0,dataset_3,1
السلام عليكم حاب نسقسيك اذا ممكن,0.0,dataset_3,0
كيفه نحول هايلة بزاف لهايلة ماكسي,0.0,dataset_3,0
*720#<br>ثم 11 حتى تجد تحويل نحو hayla maxi,0.0,dataset_3,0
"Si ce n&#39;est pour la connexion de votre emplacement ne souscrivez JAMAIS à Djezzy , ils m&#39;ont envoyé un message me disant qu&#39;on me &quot; DONNAIT &quot; 15 go car j&#39;avais flexy pour 2000 da puis on m&#39; a enlevé 1000 da pour ces 15 go . Le lendemain j&#39;ai flexy 3000 DA pour obtenir la connexion 150 go à 4000 DA , sauf que ces malins m&#39;ont directement encaissé les 3000 da POUR 60 GO uniquement sans MON autorisation NI celle du gars du flexy .",0.0,dataset_3,0
راك تقول تستهلك ف الشهر 33انا نخدم بيها تتفرج برك ماجابتش ليا شهر سبحان الله وبحمده ماني فاهم والو,1.0,dataset_3,1
@jeon jojo واش تتفرج مثلا,0.0,dataset_3,0
والله سراق لبارح برك فليكسيت 1500 وراحت نصها معلباليش وش هذا,1.0,dataset_3,1
انا نفليكسي 1500 ونظل نتفرج ونخدم بيه نهار كامل وهو يمشي ويلحق الشهر تخلص وهي مزال فيها النت,2.0,dataset_3,2
اي بيا كي وفيت,0.0,dataset_3,0
سراقين,1.0,dataset_3,1
عندي هايلة بزاااف ما فيهاش هذي العروض فيها غير 1200دج و زيد الانترنت ديالها ولات عيانة بزاااااف,1.0,dataset_3,1
بارك الله فيك بالتوفيق,2.0,dataset_3,2
ممكن تفيدنا بخصوص جازي نيو هايلة ماكسي، يعني ماهي العروض المتوفرة فيها وتكلفة تحويل شريحة جازي الى هايلة ماكسي,0.0,dataset_3,0
أخي عروض امتياز هي عروض مؤقتة كل عرض تستفيد منه مرة فقط، مثلا عرض 800 دج تستفيد منه شهر لمرة واحدة، ولما تحب ترجع تستفيد منه ماتلقهاش وهكذا... يعني جازي فاشلة في العروض,1.0,dataset_3,1
مكاش عرض مليح في الجزائر في كامل المتعاملين صديقي كامل خردة لامن نحية الاسعار ولا سرعة ولا حجم الانترنت المهدي مزلنا بزاف روطار,1.0,dataset_3,1
ولكن اظن جيزي انترنات ظعيف مقارنة بشبكات الاخرة,1.0,dataset_3,1
MERCI,2.0,dataset_3,2
اخي كريم جيزي انترنيت ضعيفة جدا,1.0,dataset_3,1
انا كانو عندي هاد العروض و نحاوهملي كفاه نرجعهم ؟؟,0.0,dataset_3,0
انا كانت عندي العروض هذي وراحتلي منلقهاش دوك كيفاش نرجعها,0.0,dataset_3,0
الله حاب نسال على عرض ويز كيفاه يره,0.0,dataset_3,0
السرعة يجيب ربي,1.0,dataset_3,1
Rak ghlet khouya vive ooreddo switch hia meilleur,2.0,dataset_3,2
عروض دائمة ؟؟؟,0.0,dataset_3,0
أريدو أنترنات طيارة خو,2.0,dataset_3,2
فيها ليمطاسيو بزاف,1.0,dataset_3,1
هيل مليحة طووول بصح انترنت حجم ميكفيش طووول لانها تستهلك بسرعه مقارنة بموبيليس 20جيقا ومتكفيكش شهر عكس موبيليس 13 جيقا بصح تكفيك شهر كامل وذلك لان جيزي غير مقيدة استهلاك انترنت,2.0,dataset_3,2
"Raak etchekar fi djezzy, bessah zéro...connexion waalou sauf à 4h du matin itelkouh chwiya donc laazem que tu sois éveillé héta tetargag...hhh wa choukrane pour l&#39;info",1.0,dataset_3,1
Connexion nulle,1.0,dataset_3,1
Attention puce ooredoo trompeur et voleur,1.0,dataset_3,1
اسوء شريحة هيا جيزي,1.0,dataset_3,1
خونا متقولش عروض انترنت قول عرض سحب المال من شعب بسك الأنترنت والو,1.0,dataset_3,1
في رايي ( سما نت خاصة 1500دج و 2000 دج) هذا افضل عرض مقارنة بجميع المتعاملين,2.0,dataset_3,2
هو عرض شباب لاخطرش فيه تحسينات على كلش مكاش تراجع على بيكس بصح راهي نقسة سرعة بزاف,1.0,dataset_3,1
موبيليس يعصرو فينا هاد العرض غالي كان يحطوه من زمان فيما يخص لوقة الحالي 100جيڨا 1000دج وطلع,1.0,dataset_3,1
ماتهمنيش عروض موبليس قد مايهمني يوسعو في شبكة الجيل الرابع خاصة في الصحراء و يزيدو سرعة تدفق الانترنت وفقط شكرا لك اخي,1.0,dataset_3,1
لما تحققون التغطية داخل المدن ممكن,1.0,dataset_3,1
السلام عليكم و رحمة الله. المشكل في سرعة الانثرنت . و هل يمكن أن تشتري خط جديد مع الاحتفاظ بالرقم القديم انتاع لاوين,1.0,dataset_3,1
السلام عليكم ، الكابل الجديد لموبيليس تم اقتناءه بسبب العاب البحر الابيض المتوسط,0.0,dataset_3,0
راح يقعد. ديما ولا فترة محدودة,0.0,dataset_3,0
عروض مليحة و لكن اذا قدرت تجربلنا سرعة التدفق خاصة تاع الانترنت او ميكس,0.0,dataset_3,0
مليح عرض 1500دج تاع net 60 gb<br>مع عرض الجيش 650 دج 15gb وحدة للهدرة و وحدة للأنترنت,2.0,dataset_3,2
على الإنترنت الزينة,2.0,dataset_3,2
عروض دائمة ولا مؤقتة ...؟؟,0.0,dataset_3,0
المشكل يبقى في سرعة انترنيت. هل سيتغير,1.0,dataset_3,1
عرض هااااايل روووعة ديما موبيليس,2.0,dataset_3,2
الشكرا على كل المجهودات المبذولة..,2.0,dataset_3,2
شحال مدة باش ينحيو هاد العرض,0.0,dataset_3,0
يبقى Top 4G افضل عرض 👌 في موبيليس,2.0,dataset_3,2
تخرج الطريق السريع ماكانش لانترنت 🙄<br>الجيل الرابع ماكانش منو، و الثالث كيما ذكرت سالفا.,1.0,dataset_3,1
أعتقد عرض فيه نوع من الحيلة كنفس العروض السابقة يعني مثلا عرض الأنترنت 1000 دج فيها 30 جيڨا و في نفس الوقت مفيهش هدرة تسما يا إما نفليكسي باش نهدر و هنا تزيد التكلفة أو ندير العرض mix نلقى روحي في نفس العروض مثل pixx,1.0,dataset_3,1
موبيليس تعطيك 200g وتدفق الأنترنت ميت راح تستهلك ياربي 5g,1.0,dataset_3,1
مشكور على كل المجهود المبذول لكن لا تطل كثيرا اخي في الفيديو,0.0,dataset_3,0
ماحكيتناش على الديبي خاصتا في المساء . شكرا اخي,0.0,dataset_3,0
واش الفايدة وحنا مزلنا بي 3 جي <br>صح بلديه حسناوة ولايه برج بوعريريج مزالنا بي 3جي<br>رغم انو جميع بلديات البرج طلقولهم 4 جي,1.0,dataset_3,1
ليس المهم حجم الانترنت جودة النت هي الاصل بلاش منشرجيش الفيكس افضل بكثير,1.0,dataset_3,1
المشكل الوحيد هو سرعة الإنترنت,1.0,dataset_3,1
اليوم دخل العرض هذا للخدمة وليس غدا,0.0,dataset_3,0
بارك الله فيك وجزاك خير ا,0.0,dataset_3,0
بارك الله فيك,0.0,dataset_3,0
الى متى يطورون في شبكات مازلنا فقط بي انطنات تاع بكري الان المدن الصغيرة اصبحت كبيرة نمشيو شبكات قديمة لهذا في قوة الريزو ضعيفة في بعض الاحياء,1.0,dataset_3,1
في جيجل مزال 4g ضعيف وتحت المستوى والاكثر مرارة في وسط جيجل بمحادات موبيليس بحد داتها 🤦🤦😩😩,1.0,dataset_3,1
تحيا توب 4 جي 👈 TOP4G<br>ولا كسر الشريحة,2.0,dataset_3,2
عروض سيئة.<br>ربما الأفضل فيها هو عرض:<br>1000=30Gb+200 DA<br>عرض معقول جدا.,1.0,dataset_3,1
كيفاش نبدل شريحة لاوين لعرض 200نت من فضلك ،مشكور على المعلومات ،بالتوفيق .,0.0,dataset_3,0
بارك الله فيك زعيم,0.0,dataset_3,0
ربي يوفقك اخي,0.0,dataset_3,0
عندي أبيس 30 يوم انترانات ب100الف فيها2جغ+200الف نحو كل الشبكات+ملابس مجانا +الأحتفاض ب 100الف بعد الأنتهاء الشهر مع أمكانية تحويلها الى انترنت لي مدة شهر آخر كامل ههههه هذا احسن عرض عند موبليس,2.0,dataset_3,2
خصني كود تحويل شريحة موبليس من 3G إلى 4G,0.0,dataset_3,0
يبقى توب 4G<br>أفضل عرض بكثير 50 <br>الف شهر كامل انترنات,2.0,dataset_3,2
عندي top 4g ونزيد نشري سما نات 1500ونولي فالفايدة 😁😁😁😁,2.0,dataset_3,2
موبيليس مليحة برك في الصحراء وين كاين جماعة سوناتراك و الدراهم لأن في العاصمة الشبكة معدومة ( الريزو ),1.0,dataset_3,1
"اما sama لا توجد و تنخفض بالسرعة انا فكليست الاحد اليوم الثلاثاء راه <a href=""https://www.youtube.com/watch?v=7rhA7poxyY0&amp;t=6m50s"">6:50</a> من 15 باضافة كنت نتفرج اي fb",1.0,dataset_3,1
الله يخليك محتاجة مساعدة,0.0,dataset_3,0
الان هل هذا العرض دائم ام مؤقت,0.0,dataset_3,0
أروع عرض,2.0,dataset_3,2
اخي الله يخليك كيفاش نلغي activation Mobilis قديمة باسك كملتلي الانترنت قبل وقتها,0.0,dataset_3,0
سما لعرض تع pixx يبقى برك يزيدو 2 جيغا ؟ انا كان مسعدني فيسبوك باطل نشوف فيه كلش,0.0,dataset_3,0
لا يصلح إلا في المدن الكبرى .. الدواور ربي يجيب الخير,1.0,dataset_3,1
ناس قريب تطلق G6 وحنا مزال فالقرون الوسطى اني نمشي بالH دوكا 😂😂😂 الجزائر الجديدة 😅,1.0,dataset_3,1
و الشراء في المواقع ما زال ما خموش فيها,1.0,dataset_3,1
اليوم تستاهل 10000000000000 جام,0.0,dataset_3,0
"ديرلنا سرعة الانترنت تعها على ساعة <a href=""https://www.youtube.com/watch?v=7rhA7poxyY0&amp;t=21m00s"">21:00</a>",0.0,dataset_3,0
مزال لحد الأن لم يظهر العرض في *600#,0.0,dataset_3,0
تعيش كي ندير عرض سما نات 30 جيڨا كي نكون نتفرج احيانا يعني ماش دائما اليوتيوب والتيك توك أكيد تكمل بالخف . ولا عادي تشد شهر بالظبط,0.0,dataset_3,0
موبيليس تاع الزواولة يعطيهم الصحة. اما التدفق الي السرعة يشري سيارة ويروح ببها لكاش منطقة ويكنكتي .,2.0,dataset_3,2
خويا درت سما وباغي نرجعها pixx ممكن ولا راحت,0.0,dataset_3,0
فهمهم بلي فايسبوك ياكل من جيغات ك تكتيفي العرض <br>و ك يخلاصو الجيغات يرجع مجاني,0.0,dataset_3,0
لان pix كنا مستفدين من fb مجانا,0.0,dataset_3,0
خويا نسقسيك عندي طوب 4g فيها 200 ألف كون نحولها pix يروحو صوارد ولا لالا,0.0,dataset_3,0
تيكنو موادم ايدوم 4g كاش عروض جدد,0.0,dataset_3,0
طلقوه 😍😍😍,0.0,dataset_3,0
غير بدلت لسما صرقولي الدراهم الي كانو عندي في البيس ربي يهدي ويسمون تطور,1.0,dataset_3,1
السلام عليكم<br> اخي قلت كلش غير سوما نتاع بيس ما قلتناش عليها,0.0,dataset_3,0
مشكور علىالجديد,2.0,dataset_3,2
هذو العروض فيهم لي ميطاسيو ولا نو خويا ؟؟,0.0,dataset_3,0
انا اضن يعطوك 90جيڨا بصح يزيدو في سرعة ومن بعد نبدو نقولو موبيليس راهي تخون وهيا نتا تشوفها 90 بصح يزيد في سرعة استهلاك البيانات بلا منعبو انا اضن اغراء لان رمضان علي الابواب,1.0,dataset_3,1
30 دج = جوبلي قهوة - 10 دج = ساعه تفراج في اليوتوب بجوده 360 + فيسبوك باطل 😂<br>في بلادنا راه كلشي يزيد يغلى غير الانترنت راهي ترخص <br>كاش نهار نرجعو ناكلو في الكونكسيون,1.0,dataset_3,1
وتبقى ooredoo الافضل في عرض سوتش 150 =<br>50Gb,2.0,dataset_3,2
وهاذي بيس تتباع ولا تلقا العروض فالبيس تاعك لتستعملها وين تلقاها العروض نرجو توضيح شامل,0.0,dataset_3,0
عجبني عرض انترنت ولكن 40 الف هدرة قليلة خخخخ,1.0,dataset_3,1
Ooredoo switch khir nflixi 1500. Ya3tiwli 1500 w ooredoo batl w 50GB,2.0,dataset_3,2
جاي رمضان ظرك يبداو العروض المهم حاجة تلتيك على ذكر الله وخلاص,0.0,dataset_3,0
على ما اظن عرض بيكس خير منها,2.0,dataset_3,2
Top 4g خير منها,2.0,dataset_3,2
خويا تستينا سرعة أنترنات فيها بسك عدنا مشكل مع سرعة تدفق ضعيييييف جدا,0.0,dataset_3,0
تحيا الجيزي 200 كل الشبكات,2.0,dataset_3,2
بارك الله فيك شوفلنا على la pucتع التجار والحرفين والمؤسسات,0.0,dataset_3,0
يوكان جات كونيكسيو مليحة تحيا جيزي فيها هدرة غير محدودة,2.0,dataset_3,2
حجا نسيتها كي تاكتيفي هاد العرض متقدرش تلغيه هادي قولها فيديو الجاي,0.0,dataset_3,0
خويا وما فيهاش السرعة المخفضة ؟؟,0.0,dataset_3,0
موبيليس كي تبقا غير هيا فوق الأرض منديرهاش,1.0,dataset_3,1
واش لمليحة للمودام,0.0,dataset_3,0
إذا كان الفايسبوك المجاني يستهلك من الميغات فهو عرض فاشل,1.0,dataset_3,1
المشكل هل الفايسبوك مجاني صح ولا ينقصولك من رصيد الانترنت,0.0,dataset_3,0
ربي يحفضك,0.0,dataset_3,0
هاد العروض دائمة ؟,0.0,dataset_3,0
كاش واحد يعرف كيفاش تفليكسي باستعمال بطاقة فيزا كارد ؟,0.0,dataset_3,0
La connection mobilis 4G est la meme que l&#39;ancienne 1515 khorti latrebeh&#39;hom,1.0,dataset_3,1
مكانش العرض في •600#,0.0,dataset_3,0
Malheureusement couverture 4g Mobilis nulle,1.0,dataset_3,1
يا جماعة أنا جربتها الشريحة مليحة . بصح كاين حاجة . كي تولي 3G توللي ثقيلة . و كاينة حاجة بخصوص ليلعبوا الببجي و الفري فاير . لبينغ يكون مليح كي تكون 4G بصح كي تكون 3G تولي عيانة خلاص,1.0,dataset_3,1
يدخل في سما مايقدرش يوالي plan top awele tous pix اولا رناي غالط,0.0,dataset_3,0
كونيكسيو ثقيلا في موبيليس,1.0,dataset_3,1
موبيليس والكل يتألم,1.0,dataset_3,1
للأسف جميع العروض الجديدة دون المستوى,1.0,dataset_3,1
واش من فيدا في كامل هذو العروض والريزو موبيليس ضعيف جدا جدا,1.0,dataset_3,1
وزعمة صح تلحق 70 جيڨا 😂😂,0.0,dataset_3,0
حياك الله,0.0,dataset_3,0
سلام خوتي لعزاز انا من 🇩🇿الجزائر راني نخدم في فديوهات والله غير حاجة نظيفة وملقيتش الدعم عانوني ربي يافرحكم دنيا واخر✌,0.0,dataset_3,0
نقدر نروحلو من top 4G و نرجع عادي ؟,0.0,dataset_3,0
خاوتي كيفاش نحول من pix 4g ل سما,0.0,dataset_3,0
حتى عرض ما يصلح فيهم لازم تكون هدرة وانترنيت كل فلمعقول,1.0,dataset_3,1
اصمط عروض قولي كيفاه راح يحطمو العروض الاخرى الشعب يريد انترناة وهدرة في نفس الوقت,1.0,dataset_3,1
هل هو لجميع شرائح,0.0,dataset_3,0
غيرتها فقدت اشتراكي في بيكس مع اني جددت العرض قبل ايام. كان لازم توضح يا الاخ قبل النشر,0.0,dataset_3,0
"mix normalement , 2500 da appelles + 25gb internet , ca sera mieux avec 1500 da",0.0,dataset_3,0
تحيا بلادى و تحيا سلعت بلادى موبيليس ، موبيليس احسن مما كنت اتوقع,2.0,dataset_3,2
نروح لعرض net وندير تع 90 جيجا,0.0,dataset_3,0
غير ما يسرقوش لجيڨا بزاف نأكتيفي1000تروح في سمانة و500مانحكيش,1.0,dataset_3,1
تحيا توب 4جي,2.0,dataset_3,2
كيف الغي عروض سما وترجعلي موبليس فقط,0.0,dataset_3,0
مهمناش العرد الصرقة تع الدراهم ركوم تصرقو بزاف موبيليس كانت مليحة كي ولت تدي الدراهم راحت,1.0,dataset_3,1
وكي تخلص مثلا ميتين الف ويعطوك 50 جيقا ونهاية الشهر تلقى روحك مكمل غير 2 جيقا لاخاطر التدفق بالتقطير كفاش الحل !! فديو ماتكملوش في شهر ههههه .,1.0,dataset_3,1
سبحان الله مغير الاحوال,0.0,dataset_3,0
بارك الله فيك مي عروض زوبيا كي الشركة الي دارتها<br>دين الله الناس راهم جيل خامس انترنت مجاني وحنا مزال2000 تعطينى 60 ولى90<br>ويقلك عرض هايل تبا لكم ولشركتكم<br>وانتا باراك الله فيك على الفيديو مي نروح للفيكس خير,1.0,dataset_3,1
هكذا زيد تثقال مليح الكونيكسيو كثرو العروض والجوده زيرو.,1.0,dataset_3,1
ولي عندو موبليس قديمة يقدر يحولها ول لازم تشري بيس جديدة,0.0,dataset_3,0
ياك ماشي غير تاكتيفي ليدوني ينحولك 1 جيغا,0.0,dataset_3,0
واش رايكم في عرض 500da انترنت,0.0,dataset_3,0
200 دج روح أكتيفيها في اوريدو يعطوك 60 جيڨا و 400 الف هدرة وتدفق مانحكوش عليه . اوريدو معروفة بالكونيكسيو تاعها <br>احي على موبيليس وينما تجي تكحلها تعميها,1.0,dataset_3,1
عرض بيكس احسن منو بالف مرة,2.0,dataset_3,2
عرض داءم ولي تسما,2.0,dataset_3,2
وين نلقاه العروض,0.0,dataset_3,0
تقدر ترجع لعروض بيكس ادا خدمت بسما ؟؟,0.0,dataset_3,0
اوريدو سويتش <br>تخلص 150 هدرة اوريدو مجاني و 50 جيڨا وكيتزايدلك جيڨات يزيدوهملك لشهر لجاي مثلا كيما انا زايدتلي 26 جيڨا كيفليكسيت ولاتلي 76 <br>مشكل نهار شحن فيكسي انا 14 تبقا 14 عام باه تخلاص العقد معاهم وتقدر تقلعها 😑🙄,2.0,dataset_3,2
والسرعة بعد نفاذ الجيقا نتاع انترنت 1000,0.0,dataset_3,0
ليس عرضا جيدا اصلا الانترنات ضعيفة في جميع الولايات,1.0,dataset_3,1
100 الف 2 جيغا والله سريقة مع سبق الترصد و الأسرار,1.0,dataset_3,1
والوين ماكس لي راهي من العصر الحجري ما خلاونا نبدلو ما حسنوه,1.0,dataset_3,1
ريزو مبيليز ندخل لدار ونخليه برا ميبغيش يدخل معاية نجمة تخدم في نهار وترقد بكري في ليل 6 مساء تنتهي لخدمة خدمات زبالة مثل مليهم في سرقة وتدفق لنسبة سرقة هم رقم 1في لعالم,1.0,dataset_3,1
مازال عرض ضعيف جيزي،احسن في جودة الانترنات والسعة ايضا,2.0,dataset_3,2
عروض بيكس خير من لي راك تحكي عليهم 1000 ألف <br>المدة 30 يوووم <br>فيها مع موبليس بااطل <br>200 الف مع جميع شبكات <br>13 جيغا + فيسبوك مجاني,2.0,dataset_3,2
هاذي لازم بيس تشريها موبيليس ولا فلبيكس كاينا او كيفاش تكتيفيها اخي الكريم,0.0,dataset_3,0
جربلنا سرعة الإنترنت,0.0,dataset_3,0
بالتوفيق,0.0,dataset_3,0
خويا ديرنا فيديو علي استراد السيارات وقتاش يدخلو,0.0,dataset_3,0
كاش تحديث للتروكولار ؟,0.0,dataset_3,0
شريتها و تحشاتلي حسبي الله ونعم الوكيل فيهم,1.0,dataset_3,1
تحيا السويتش اوريدو,2.0,dataset_3,2
نجمة وملابس وجزي ف3 وريزو بدون كهرباء بدون شبك,1.0,dataset_3,1
هاد عرض دائم ولا شهورا ويڨلعوه,0.0,dataset_3,0
switch khir 1500da <br>fiha kolesh,2.0,dataset_3,2
خونا تيكنو درينا فيديو وديرلها تاست لبينغ وسرعة تتدفق,0.0,dataset_3,0
ياخو كيفاش ترجع لعرض مبتسم ولي يعرف يقلي,0.0,dataset_3,0
مكاش عروض في جيزي,1.0,dataset_3,1
